Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Minkah Fitzpatrick,28,S,17,17,1,25,0,25,4,1,0,0,0,0,0.0,96,62,34,1,0,0,PB
2,Cameron Heyward,35,DT,17,17,0,0,0,0,11,0,0,0,0,0,8.0,71,35,36,12,20,0,"PB,AP-1,AP DPoY-13,AP CPoY-9"
3,Patrick Queen,25,LB,17,17,0,0,0,0,7,2,0,1,0,0,1.0,129,65,64,6,5,0,PB
4,T.J. Watt,30,LB,17,17,0,0,0,0,4,6,0,2,0,0,11.5,61,40,21,19,27,0,"PB,AP-2,AP DPoY-4"
5,Joey Porter Jr.,24,CB,16,16,1,16,0,16,7,0,0,0,0,0,0.0,70,53,17,2,0,0,
6,Zach Frazier,23,C,15,15,0,0,0,0,0,0,1,0,-7,0,0.0,0,0,0,0,0,0,
7,Donte Jackson,29,CB,15,15,5,88,0,49,8,0,0,1,-1,0,0.0,38,28,10,2,0,0,
8,Keeanu Benton,23,DL,17,14,1,11,0,11,6,0,0,1,0,0,1.0,36,16,20,2,8,0,
9,DeShon Elliott,27,S,15,14,1,0,0,0,6,2,0,3,10,0,0.0,108,72,36,4,2,0,
10,Elandon Roberts,30,LB,17,14,0,0,0,0,0,1,0,0,0,0,1.0,46,24,22,5,4,0,
11,Larry Ogunjobi,30,DT,15,12,0,0,0,0,0,0,0,0,0,0,1.5,41,16,25,5,7,0,
12,George Pickens,23,WR,14,12,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
13,Pat Freiermuth,26,TE,17,11,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,
14,Alex Highsmith,27,LB,11,11,0,0,0,0,2,1,0,0,0,0,6.0,45,28,17,9,13,0,
15,Russell Wilson,36,QB,11,11,0,0,0,0,0,0,5,2,-6,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-14"
16,Calvin Austin III,25,WR,17,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
17,Beanie Bishop,25,CB,17,6,4,46,0,41,7,0,0,1,0,0,0.5,45,30,15,2,1,0,
18,Justin Fields,25,QB,10,6,0,0,0,0,0,0,6,3,-22,0,0.0,0,0,0,0,0,0,
19,Nick Herbig,23,LB,13,5,0,0,0,0,0,4,0,2,0,0,5.5,22,13,9,5,11,0,
20,Connor Heyward,25,TE,17,5,0,0,0,0,0,0,0,1,0,0,0.0,8,6,2,0,0,0,
21,MyCole Pruitt,32,TE,12,5,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
22,Payton Wilson,24,LB,17,4,1,0,0,0,2,1,1,2,22,1,0.0,78,49,29,3,2,0,
23,James Pierre,28,CB,15,2,1,18,0,18,3,2,0,0,0,0,0.0,23,17,6,0,0,0,
24,Cameron Sutton,29,CB,9,2,0,0,0,0,3,0,0,0,0,0,0.0,15,7,8,0,0,0,
25,Damontae Kazee,31,S,15,1,1,5,0,5,2,0,0,0,0,0,0.0,31,22,9,0,0,0,
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
26,Dean Lowry,30,DT,12,1,0,0,0,0,1,0,0,0,0,0,1.0,5,1,4,0,1,0,
27,Scott Miller,27,WR,13,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
28,Jeremiah Moon,26,LB,13,1,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,0,0,0,
29,Cordarrelle Patterson,33,RB,13,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
30,Ben Skowronek,27,WR,10,1,0,0,0,0,0,0,0,2,0,0,0.0,7,4,3,0,0,0,
31,Cory Trice,24,CB,6,1,1,0,0,0,2,0,0,0,0,0,0.0,21,15,6,1,0,0,
32,Montravius Adams,29,DT,11,0,0,0,0,0,0,0,0,0,0,0,1.0,14,9,5,2,1,0,
33,Terrell Edmunds,27,S,5,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,
34,Miles Killebrew,31,S,17,0,0,0,0,0,0,0,0,0,0,0,0.0,13,8,5,0,0,0,PB
35,Christian Kuntz,30,LS,17,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
36,DeMarvin Leal,24,DE,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,1,0,
37,Eku Leota,25,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
38,Isaiahh Loudermilk,27,DT,16,0,0,0,0,0,1,0,0,0,0,0,0.0,17,10,7,0,0,0,
39,Tyler Matakevich,32,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,
40,Mark Robinson,25,LB,17,0,0,0,0,0,0,2,0,0,0,0,0.0,6,6,0,0,0,0,
41,Preston Smith,32,LB,8,0,0,0,0,0,0,0,0,1,1,0,2.0,13,6,7,3,2,0,
42,Corliss Waitman,29,P,16,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
