Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
1,2024-09-08,@,ATL,"W, 18-10",2,12,pass,Kyle Pitts 12 yard pass from Kirk Cousins (Younghoe Koo kick)
2,2024-09-22,,LAC,"W, 20-10",1,27,pass,Quentin Johnston 27 yard pass from Justin Herbert (Cameron Dicker kick)
3,2024-09-29,@,IND,"L, 24-27",1,2,rush,Jonathan Taylor 2 yard rush (Matt Gay kick)
4,2024-09-29,@,IND,"L, 24-27",1,4,pass,Josh Downs 4 yard pass from Joe Flacco (Matt Gay kick)
5,2024-09-29,@,IND,"L, 24-27",4,15,pass,Andrew Ogletree 15 yard pass from Joe Flacco (Matt Gay kick)
6,2024-10-06,,DAL,"L, 17-20",4,22,pass,Rico Dowdle 22 yard pass from Dak Prescott (Brandon Aubrey kick)
7,2024-10-06,,DAL,"L, 17-20",4,4,pass,Jalen Tolbert 4 yard pass from Dak Prescott (Brandon Aubrey kick)
8,2024-10-13,@,LVR,"W, 32-13",1,3,rush,Alexander Mattison 3 yard rush (Daniel Carlson kick)
9,2024-10-13,@,LVR,"W, 32-13",4,9,pass,Kristian Wilkerson 9 yard pass from Aidan O'Connell (pass failed)
10,2024-10-20,,NYJ,"W, 37-15",1,13,rush,Breece Hall 13 yard rush (Greg Zuerlein kick)
11,2024-10-20,,NYJ,"W, 37-15",2,1,pass,Tyler Conklin 1 yard pass from Aaron Rodgers (Garrett Wilson pass from Aaron Rodgers)
12,2024-10-28,,NYG,"W, 26-18",4,45,rush,Tyrone Tracy Jr. 45 yard rush (pass failed)
13,2024-11-10,@,WAS,"W, 28-27",1,1,rush,Austin Ekeler 1 yard rush (Zane Gonzalez kick)
14,2024-11-10,@,WAS,"W, 28-27",2,1,rush,Austin Ekeler 1 yard rush (Zane Gonzalez kick)
15,2024-11-10,@,WAS,"W, 28-27",3,1,rush,Jeremy McNichols 1 yard rush (Zane Gonzalez kick)
16,2024-11-17,,BAL,"W, 18-16",2,1,rush,Derrick Henry 1 yard rush (Justin Tucker kick)
17,2024-11-17,,BAL,"W, 18-16",4,16,pass,Zay Flowers 16 yard pass from Lamar Jackson (pass failed)
18,2024-11-21,@,CLE,"L, 19-24",2,2,rush,Nick Chubb 2 yard rush (Dustin Hopkins kick)
19,2024-11-21,@,CLE,"L, 19-24",4,2,rush,Jameis Winston 2 yard rush (David Njoku pass from Jameis Winston)
20,2024-11-21,@,CLE,"L, 19-24",4,2,rush,Nick Chubb 2 yard rush (pass failed)
21,2024-12-01,@,CIN,"W, 44-38",1,51,interception,Cam Taylor-Britt 51 yard interception return (Evan McPherson kick)
22,2024-12-01,@,CIN,"W, 44-38",1,1,rush,Chase Brown 1 yard rush (Evan McPherson kick)
23,2024-12-01,@,CIN,"W, 44-38",2,4,pass,Ja'Marr Chase 4 yard pass from Joe Burrow (Evan McPherson kick)
24,2024-12-01,@,CIN,"W, 44-38",4,1,pass,Tee Higgins 1 yard pass from Joe Burrow (Evan McPherson kick)
25,2024-12-01,@,CIN,"W, 44-38",4,3,pass,Andrei Iosivas 3 yard pass from Joe Burrow (Evan McPherson kick)
Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
26,2024-12-08,,CLE,"W, 27-14",1,35,pass,Jerry Jeudy 35 yard pass from Jameis Winston (Dustin Hopkins kick)
27,2024-12-08,,CLE,"W, 27-14",4,15,pass,David Njoku 15 yard pass from Jameis Winston (Dustin Hopkins kick)
28,2024-12-15,@,PHI,"L, 13-27",1,5,pass,A.J. Brown 5 yard pass from Jalen Hurts (Jake Elliott kick)
29,2024-12-15,@,PHI,"L, 13-27",2,2,pass,DeVonta Smith 2 yard pass from Jalen Hurts (Jake Elliott kick)
30,2024-12-15,@,PHI,"L, 13-27",4,1,rush,Jalen Hurts 1 yard rush (Jake Elliott kick)
31,2024-12-21,@,BAL,"L, 17-34",1,9,pass,Isaiah Likely 9 yard pass from Lamar Jackson (Justin Tucker kick)
32,2024-12-21,@,BAL,"L, 17-34",2,14,pass,Rashod Bateman 14 yard pass from Lamar Jackson (Justin Tucker kick)
33,2024-12-21,@,BAL,"L, 17-34",3,7,pass,Mark Andrews 7 yard pass from Lamar Jackson (Justin Tucker kick)
34,2024-12-21,@,BAL,"L, 17-34",4,37,interception,Marlon Humphrey 37 yard interception return (Justin Tucker kick)
35,2024-12-25,,KAN,"L, 10-29",1,7,pass,Xavier Worthy 7 yard pass from Patrick Mahomes (Harrison Butker kick failed)
36,2024-12-25,,KAN,"L, 10-29",1,11,pass,Justin Watson 11 yard pass from Patrick Mahomes (Harrison Butker kick)
37,2024-12-25,,KAN,"L, 10-29",4,2,rush,Kareem Hunt 2 yard rush (pass failed)
38,2024-12-25,,KAN,"L, 10-29",4,12,pass,Travis Kelce 12 yard pass from Patrick Mahomes (Harrison Butker kick)
39,2025-01-04,,CIN,"L, 17-19",1,12,pass,Ja'Marr Chase 12 yard pass from Joe Burrow (Cade York kick)
