Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18
,Punt Returns,Kick Returns,,,,,,,,,,,,,,,
Rk,Player,Age,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
1,Minkah Fitzpatrick,28,S,17,17,0,0,0,0,,1,7,0,7,7.0,32,PB
2,Broderick Jones,23,OT,17,16,0,0,0,0,,0,0,0,0,,0,
3,Miles Killebrew,31,S,17,0,0,0,0,0,,0,0,0,0,,0,PB
4,Patrick Queen,25,LB,17,17,0,0,0,0,,0,0,0,0,,0,PB
5,Van Jefferson,28,WR,17,12,0,0,0,0,,0,0,0,0,,276,
6,Christian Kuntz,30,LS,17,0,0,0,0,0,,0,0,0,0,,0,
7,Elandon Roberts,30,LB,17,14,0,0,0,0,,0,0,0,0,,0,
8,Connor Heyward,25,TE,17,5,0,0,0,0,,0,0,0,0,,40,
9,Cameron Heyward,35,DT,17,17,0,0,0,0,,0,0,0,0,,0,"PB,AP-1,AP DPoY-13,AP CPoY-9"
10,Najee Harris,26,RB,17,17,0,0,0,0,,0,0,0,0,,1326,
11,Mark Robinson,25,LB,17,0,0,0,0,0,,0,0,0,0,,0,
12,Pat Freiermuth,26,TE,17,11,0,0,0,0,,0,0,0,0,,653,
13,Mason McCormick,24,G,17,14,0,0,0,0,,0,0,0,0,,0,
14,Ryan McCollum,26,C,17,2,0,0,0,0,,0,0,0,0,,0,
15,Darnell Washington,23,TE,17,9,0,0,0,0,,0,0,0,0,,200,
16,T.J. Watt,30,LB,17,17,0,0,0,0,,0,0,0,0,,0,"PB,AP-2,AP DPoY-4"
17,Chris Boswell,33,K,17,0,0,0,0,0,,0,0,0,0,,0,"PB,AP-1"
18,Beanie Bishop,25,CB,17,6,0,0,0,0,,0,0,0,0,,46,
19,Keeanu Benton,23,DL,17,14,0,0,0,0,,0,0,0,0,,11,
