Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1,Chris Boswell,33,K,17,0,0,0,0,0,0,0,0,0,0,0,35,35,41,44,0,158,9.3,"PB,AP-1"
2,Pat Freiermuth,26,TE,17,11,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,42,2.5,
3,Najee Harris,26,RB,17,17,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,36,2.1,
4,Calvin Austin III,25,WR,17,8,0,4,1,0,0,0,0,5,0,0,0,0,0,0,0,30,1.8,
5,Justin Fields,25,QB,10,6,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,3.0,
6,George Pickens,23,WR,14,12,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.3,
7,Van Jefferson,28,WR,17,12,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0.7,
8,Russell Wilson,36,QB,11,11,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,"PB,AP CPoY-14"
9,Connor Heyward,25,TE,17,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,
10,Cordarrelle Patterson,33,RB,13,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
11,MyCole Pruitt,32,TE,12,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
12,Jaylen Warren,26,RB,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,
13,Darnell Washington,23,TE,17,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,
14,Mike Williams,30,WR,9,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
15,Payton Wilson,24,LB,17,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.4,
,Team Totals,,,17,,14,21,1,0,1,0,0,37,0,0,35,35,41,44,0,380,,
