Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
1,2024-09-15,@,DEN,"W, 13-6",1,5,pass,Darnell Washington 5 yard pass from Justin Fields (Chris Boswell kick)
2,2024-09-22,,LAC,"W, 20-10",2,5,rush,Justin Fields 5 yard rush (Chris Boswell kick)
3,2024-09-22,,LAC,"W, 20-10",4,55,pass,Calvin Austin III 55 yard pass from Justin Fields (Chris Boswell kick)
4,2024-09-29,@,IND,"L, 24-27",3,5,rush,Justin Fields 5 yard rush (Chris Boswell kick)
5,2024-09-29,@,IND,"L, 24-27",4,2,rush,Justin Fields 2 yard rush (Chris Boswell kick)
6,2024-09-29,@,IND,"L, 24-27",4,8,pass,Pat Freiermuth 8 yard pass from Justin Fields (Chris Boswell kick)
7,2024-10-06,,DAL,"L, 17-20",3,16,pass,Connor Heyward 16 yard pass from Justin Fields (Chris Boswell kick)
8,2024-10-06,,DAL,"L, 17-20",4,6,pass,Pat Freiermuth 6 yard pass from Justin Fields (Chris Boswell kick)
9,2024-10-13,@,LVR,"W, 32-13",2,3,rush,Justin Fields 3 yard rush (pass failed)
10,2024-10-13,@,LVR,"W, 32-13",3,36,rush,Najee Harris 36 yard rush (Chris Boswell kick)
11,2024-10-13,@,LVR,"W, 32-13",4,7,rush,Justin Fields 7 yard rush (Chris Boswell kick)
12,2024-10-20,,NYJ,"W, 37-15",2,11,pass,George Pickens 11 yard pass from Russell Wilson (Chris Boswell kick)
13,2024-10-20,,NYJ,"W, 37-15",3,1,rush,Russell Wilson 1 yard rush (Chris Boswell kick)
14,2024-10-20,,NYJ,"W, 37-15",4,4,pass,Van Jefferson 4 yard pass from Russell Wilson (Chris Boswell kick)
15,2024-10-20,,NYJ,"W, 37-15",4,10,rush,Najee Harris 10 yard rush (Chris Boswell kick)
16,2024-10-28,,NYG,"W, 26-18",3,73,punt,Calvin Austin III 73 yard punt return (Chris Boswell kick)
17,2024-10-28,,NYG,"W, 26-18",4,29,pass,Calvin Austin III 29 yard pass from Russell Wilson (Chris Boswell kick)
18,2024-11-10,@,WAS,"W, 28-27",1,16,pass,George Pickens 16 yard pass from Russell Wilson (Chris Boswell kick)
19,2024-11-10,@,WAS,"W, 28-27",2,3,pass,Pat Freiermuth 3 yard pass from Russell Wilson (Chris Boswell kick)
20,2024-11-10,@,WAS,"W, 28-27",3,1,rush,Najee Harris 1 yard rush (Chris Boswell kick)
21,2024-11-10,@,WAS,"W, 28-27",4,32,pass,Mike Williams 32 yard pass from Russell Wilson (Chris Boswell kick)
22,2024-11-21,@,CLE,"L, 19-24",4,3,rush,Jaylen Warren 3 yard rush (Chris Boswell kick)
23,2024-11-21,@,CLE,"L, 19-24",4,23,pass,Calvin Austin III 23 yard pass from Russell Wilson (pass failed)
24,2024-12-01,@,CIN,"W, 44-38",1,17,pass,George Pickens 17 yard pass from Russell Wilson (Chris Boswell kick)
25,2024-12-01,@,CIN,"W, 44-38",2,23,pass,Calvin Austin III 23 yard pass from Russell Wilson (Chris Boswell kick)
Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
26,2024-12-01,@,CIN,"W, 44-38",2,10,rush,Najee Harris 10 yard rush (Chris Boswell kick)
27,2024-12-01,@,CIN,"W, 44-38",3,25,pass,Pat Freiermuth 25 yard pass from Russell Wilson (Chris Boswell kick)
28,2024-12-01,@,CIN,"W, 44-38",4,21,fumble,Payton Wilson 21 yard fumble return (Chris Boswell kick)
29,2024-12-08,,CLE,"W, 27-14",2,1,rush,Najee Harris 1 yard rush (Chris Boswell kick)
30,2024-12-08,,CLE,"W, 27-14",3,10,pass,Van Jefferson 10 yard pass from Russell Wilson (Chris Boswell kick)
31,2024-12-08,,CLE,"W, 27-14",3,20,pass,Pat Freiermuth 20 yard pass from Russell Wilson (Chris Boswell kick)
32,2024-12-15,@,PHI,"L, 13-27",2,9,pass,Pat Freiermuth 9 yard pass from Russell Wilson (Chris Boswell kick)
33,2024-12-21,@,BAL,"L, 17-34",2,1,pass,MyCole Pruitt 1 yard pass from Russell Wilson (Chris Boswell kick)
34,2024-12-21,@,BAL,"L, 17-34",3,12,pass,Cordarrelle Patterson 12 yard pass from Russell Wilson (Chris Boswell kick)
35,2024-12-25,,KAN,"L, 10-29",2,1,rush,Russell Wilson 1 yard rush (Chris Boswell kick)
36,2025-01-04,,CIN,"L, 17-19",2,1,rush,Najee Harris 1 yard rush (Chris Boswell kick)
37,2025-01-04,,CIN,"L, 17-19",4,19,pass,Pat Freiermuth 19 yard pass from Russell Wilson (Chris Boswell kick)
