Year,Tm,Level,Pos,Voters
2020,1st Tm,All-Conf.,WR,Pro Football Writers
2020,1st Tm,,WR,Associated Press
2020,1st Tm,,WR,Pro Football Writers
2020,1st Tm,,WR,Pro Football Focus
2020,1st Tm,,WR,Sporting News
2021,1st Tm,All-Conf.,WR,Pro Football Writers
2021,1st Tm,,WR,Associated Press
2021,1st Tm,,WR,Pro Football Writers
2021,1st Tm,,WR,Pro Football Focus
2021,1st Tm,,WR,Sporting News
2022,1st Tm,All-Conf.,WR,Pro Football Writers
2022,1st Tm,,WR,Associated Press
2022,1st Tm,,WR,NFL Players Assoc.
2022,1st Tm,,FLEX,Pro Football Focus
2022,1st Tm,,WR,Sporting News
