Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2016,24,GNB,NFL,WR,16,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
2019,27,GNB,NFL,WR,12,12,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB
2020,28,GNB,NFL,WR,14,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-1"
2021,29,GNB,NFL,WR,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,"PB,AP-1"
2022,30,LVR,NFL,WR,17,17,0,0,0,0,0,0,1,1,0,0,0.0,2,1,1,0,0,0,"PB,AP-1"
11 Yrs,,164,157,0,0,0,0,0,0,6,1,0,0,0.0,3,2,1,0,0,0,,,,
17 Game Avg,,17,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GNB (8 Yrs),,116,109,0,0,0,0,0,0,5,0,0,0,0.0,1,1,0,0,0,0,,,,
LVR (3 Yrs),,37,37,0,0,0,0,0,0,1,1,0,0,0.0,2,1,1,0,0,0,,,,
NYJ (1 Yr),,11,11,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,
