Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35
,Receiving,Rushing,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2014,22,GNB,NFL,WR,16,11,66,38,446,11.7,3,23,48.5,45,2.4,27.9,57.6,6.8,0,0,0,0,,,,0.0,0.0,38,11.7,446,3,0,5,
2015,23,GNB,NFL,WR,13,12,94,50,483,9.7,1,20,45.7,40,3.8,37.2,53.2,5.1,0,0,0,0,,,,0.0,0.0,50,9.7,483,1,0,4,
2016,24,GNB,NFL,WR,16,15,121,75,997,13.3,12,46,48.8,66,4.7,62.3,62.0,8.2,0,0,0,0,,,,0.0,0.0,75,13.3,997,12,2,10,
2017,25,GNB,NFL,WR,14,14,117,74,885,12.0,10,46,54.7,55,5.3,63.2,63.2,7.6,0,0,0,0,,,,0.0,0.0,74,12.0,885,10,0,8,PB
2018,26,GNB,NFL,WR,15,15,169,111,1386,12.5,13,64,53.3,57,7.4,92.4,65.7,8.2,0,0,0,0,,,,0.0,0.0,111,12.5,1386,13,0,10,PB
2019,27,GNB,NFL,WR,12,12,127,83,997,12.0,5,54,57.5,58,6.9,83.1,65.4,7.9,0,0,0,0,,,,0.0,0.0,83,12.0,997,5,2,9,PB
2020,28,GNB,NFL,WR,14,14,149,115,1374,11.9,18,73,65.1,56,8.2,98.1,77.2,9.2,0,0,0,0,,,,0.0,0.0,115,11.9,1374,18,1,16,"PB,AP-1"
2021,29,GNB,NFL,WR,16,16,169,123,1553,12.6,11,84,59.8,59,7.7,97.1,72.8,9.2,0,0,0,0,,,,0.0,0.0,123,12.6,1553,11,0,15,"PB,AP-1"
2022,30,LVR,NFL,WR,17,17,180,100,1516,15.2,14,65,46.1,60,5.9,89.2,55.6,8.4,3,-1,0,0,0.0,4,-0.3,-0.1,0.2,103,14.7,1515,14,1,14,"PB,AP-1"
2023,31,LVR,NFL,WR,17,17,175,103,1144,11.1,8,59,48.6,46,6.1,67.3,58.9,6.5,0,0,0,0,,,,0.0,0.0,103,11.1,1144,8,0,10,
2024,32,2TM,NFL,WR,14,14,141,85,1063,12.5,8,49,46.8,71,6.1,75.9,60.3,7.5,0,0,0,0,,,,0.0,0.0,85,12.5,1063,8,0,10,
2024,32,LVR,NFL,WR,3,3,27,18,209,11.6,1,10,51.9,30,6.0,69.7,66.7,7.7,0,0,0,0,,,,0.0,0.0,18,11.6,209,1,0,2,
2024,32,NYJ,NFL,WR,11,11,114,67,854,12.7,7,39,45.6,71,6.1,77.6,58.8,7.5,0,0,0,0,,,,0.0,0.0,67,12.7,854,7,0,8,
11 Yrs,,164,157,1508,957,11844,12.4,103,583,52.6,71,5.8,72.2,63.5,7.9,3,-1,0,0,0.0,4,-0.3,0.0,0.0,960,12.3,11843,103,6,111,,,,
17 Game Avg,,17,16,156,99,1228,12.4,11,60,52.6,71,5.8,72.2,63.5,7.9,0,0,0,0,0.0,4,-0.3,0.0,0.0,100,1.3,1228,11,1,12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB (8 Yrs),,116,109,1012,669,8121,12.1,73,410,55.2,66,5.8,70.0,66.1,8.0,0,0,0,0,,,,0.0,0.0,669,12.1,8121,73,5,77,,,,
LVR (3 Yrs),,37,37,382,221,2869,13.0,23,134,47.6,60,6.0,77.5,57.9,7.5,3,-1,0,0,0.0,4,-0.3,0.0,0.1,224,12.8,2868,23,1,26,,,,
NYJ (1 Yr),,11,11,114,67,854,12.7,7,39,45.6,71,6.1,77.6,58.8,7.5,0,0,0,0,,,,0.0,0.0,67,12.7,854,7,0,8,,,,
