Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2014,22,GNB,NFL,WR,16,11,0,3,0,0,0,0,0,3,0,,0,0,0,0,0,18,1.1,
2015,23,GNB,NFL,WR,13,12,0,1,0,0,0,0,0,1,1,,0,0,0,0,0,8,0.6,
2016,24,GNB,NFL,WR,16,15,0,12,0,0,0,0,0,12,1,,0,0,0,0,0,74,4.6,
2017,25,GNB,NFL,WR,14,14,0,10,0,0,0,0,0,10,0,,0,0,0,0,0,60,4.3,PB
2018,26,GNB,NFL,WR,15,15,0,13,0,0,0,0,0,13,1,,0,0,0,0,0,80,5.3,PB
2019,27,GNB,NFL,WR,12,12,0,5,0,0,0,0,0,5,1,,0,0,0,0,0,32,2.7,PB
2020,28,GNB,NFL,WR,14,14,0,18,0,0,0,0,0,18,0,,0,0,0,0,0,108,7.7,"PB,AP-1"
2021,29,GNB,NFL,WR,16,16,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,66,4.1,"PB,AP-1"
2022,30,LVR,NFL,WR,17,17,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,84,4.9,"PB,AP-1"
2023,31,LVR,NFL,WR,17,17,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,48,2.8,
2024,32,2TM,NFL,WR,14,14,0,8,0,0,0,0,0,8,1,0,0,0,0,0,0,50,3.6,
2024,32,LVR,NFL,WR,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2.0,
2024,32,NYJ,NFL,WR,11,11,0,7,0,0,0,0,0,7,1,0,0,0,0,0,0,44,4.0,
11 Yrs,,164,157,0,103,0,0,0,0,0,103,5,0,0,0,0,0,0,628,3.8,,,,
17 Game Avg,,17,16,0,11,0,0,0,0,0,11,1,,0,0,0,0,0,65,3.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GNB (8 Yrs),,116,109,0,73,0,0,0,0,0,73,4,0,0,0,0,0,0,446,3.8,,,,
LVR (3 Yrs),,37,37,0,23,0,0,0,0,0,23,0,0,0,0,0,0,0,138,3.7,,,,
NYJ (1 Yr),,11,11,0,7,0,0,0,0,0,7,1,0,0,0,0,0,0,44,4.0,,,,
