Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2014,22,GNB,WR,17,16,11,738,70%,0,0%,48,11%
2015,23,GNB,WR,17,13,12,762,80%,0,0%,1,0%
2016,24,GNB,WR,17,16,15,913,84%,0,0%,8,2%
2017*,25,GNB,WR,17,14,14,777,85%,0,0%,0,0%
2018*,26,GNB,WR,17,15,15,953,94%,0,0%,1,0%
2019*,27,GNB,WR,17,12,12,678,84%,0,0%,1,0%
2020*+,28,GNB,WR,17,14,14,774,85%,0,0%,7,2%
2021*+,29,GNB,WR,17,16,16,886,85%,0,0%,6,2%
2022*+,30,LVR,WR,17,17,17,1044,95%,0,0%,1,0%
2023,31,LVR,WR,17,17,17,963,92%,0,0%,3,1%
2024,32,2TM,,,14,14,792,,0,,1,
,,LVR,WR,17,3,3,178,95%,0,0%,0,0%
,,NYJ,WR,17,11,11,614,91%,0,0%,1,0%
Career,,,,,,10864,,0,,79,,
8 yrs,GNB,,,116,109,6481,,0,,72,,
3 yrs,LVR,,,37,37,2185,,0,,4,,
1 yr,NYJ,,,11,11,614,,0,,1,,
