Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32
,Rushing,Receiving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
2018,22,BUF,NFL,QB,12,11,89,631,41,351,3.9,280,3.1,2,44.5,1,0,0,0,0,,0,,13.0,0,,0,0.0,0,39.6,
2019,23,BUF,NFL,QB,16,16,109,510,42,267,2.4,243,2.2,5,21.8,0,0,0,0,0,,0,,,0,,0,,0,,
2020,24,BUF,NFL,QB,16,16,102,421,38,287,2.8,134,1.3,4,25.5,1,1,12,1,-5,-5.0,17,17.0,-5.0,1,1.0,0,0.0,0,156.2,"PB,AP-2,AP MVP-2,AP OPoY-4"
2021,25,BUF,NFL,QB,17,17,122,763,54,471,3.9,292,2.4,12,10.2,0,0,0,0,0,,0,,,0,,0,,0,,
2022,26,BUF,NFL,QB,16,16,124,762,55,592,4.8,170,1.4,5,24.8,0,0,0,0,0,,0,,,0,,0,,0,,"PB,AP MVP-3,AP OPoY-8"
2023,27,BUF,NFL,QB,17,17,111,524,57,325,2.9,199,1.8,9,12.3,0,0,0,0,0,,0,,,0,,0,,0,,"AP MVP-5,AP OPoY-6"
2024,28,BUF,NFL,QB,17,17,102,531,52,341,3.3,190,1.9,7,14.6,0,0,7,0,0,,7,,,0,,0,,0,,"PB,AP-2,AP MVP-1,AP OPoY-6"
7 Yrs,,111,110,759,4142,339,2634,3.5,1508,2.0,44,17.3,2,1,19,1,-5,-5.0,24,24.0,4.0,1,1.0,0,0.0,0,122.9,,,,
17 Game Avg,,17,17,116,634,52,403,3.5,231,2.0,7,17.3,0,0,3,0,-1,-5.0,4,24.0,4.0,0,1.0,0,0.0,0,122.9,,,,
