Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2018,22,BUF,NFL,QB,12,11,0,0,0,0,0,0,8,2,-14,0,0.0,0,0,0,0,0,0,
2019,23,BUF,NFL,QB,16,16,0,0,0,0,0,0,14,4,-1,0,0.0,0,0,0,0,0,0,
2020,24,BUF,NFL,QB,16,16,0,0,0,0,0,0,9,1,-2,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-4"
2021,25,BUF,NFL,QB,17,17,0,0,0,0,0,0,8,2,-4,0,0.0,1,1,0,0,0,0,
2022,26,BUF,NFL,QB,16,16,0,0,0,0,0,0,13,5,-2,0,0.0,3,3,0,0,0,0,"PB,AP MVP-3,AP OPoY-8"
2023,27,BUF,NFL,QB,17,17,0,0,0,0,0,0,7,1,-4,0,0.0,0,0,0,0,0,0,"AP MVP-5,AP OPoY-6"
2024,28,BUF,NFL,QB,17,17,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-1,AP OPoY-6"
7 Yrs,,111,110,0,0,0,0,0,0,64,16,-27,0,0.0,4,4,0,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,10,2,-4,0,0.0,1,1,0,0,0,0,,,,
