Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42
,Air Yards,Accuracy,Pressure,RPO,PlayAction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
2018,22,BUF,NFL,QB,12,11,169,320,3508,11.0,1126,6.7,3.5,948,5.6,0,17,0,18,5.9,78,25.7,,,2.4,126,54,33,115,29.2,46,11.0,,,,,,,,,
2019,23,BUF,NFL,QB,16,16,271,461,4266,9.3,1758,6.5,3.8,1331,4.9,10,25,3,31,7.2,88,20.3,317,73.2,2.3,201,45,43,126,23.2,43,7.3,42,267,32,240,8,27,93,787,
2020,24,BUF,NFL,QB,16,16,396,572,4857,8.5,2692,6.8,4.7,1852,4.7,4,22,0,25,4.5,88,16.0,435,79.1,2.6,244,64,47,137,21.9,29,7.9,82,617,62,547,18,70,160,1501,"PB,AP-2,AP MVP-2,AP OPoY-4"
2021,25,BUF,NFL,QB,17,17,409,646,5304,8.2,2664,6.5,4.1,1743,4.3,16,32,0,35,5.7,107,17.4,459,74.8,2.4,182,95,64,185,25.7,48,9.6,124,916,93,762,31,154,178,1643,
2022,26,BUF,NFL,QB,16,16,359,567,5205,9.2,2691,7.5,4.7,1592,4.4,14,18,1,37,6.8,91,16.6,404,73.7,2.5,144,41,40,114,17.4,57,9.4,69,493,62,471,5,22,145,1235,"PB,AP MVP-3,AP OPoY-8"
2023,27,BUF,NFL,QB,17,17,385,579,5032,8.7,2337,6.1,4.0,1969,5.1,7,28,2,31,5.6,78,14.2,427,77.8,2.3,181,51,51,126,19.3,50,7.6,83,675,70,637,9,38,92,929,"AP MVP-5,AP OPoY-6"
2024,28,BUF,NFL,QB,17,17,307,483,3836,7.9,1726,5.6,3.6,2005,6.5,9,22,1,20,4.3,86,18.7,344,74.8,2.4,136,37,37,88,16.4,41,8.9,51,404,39,335,11,69,90,794,"PB,AP-2,AP MVP-1,AP OPoY-6"
7 Yrs,,111,110,2296,3628,32008,8.8,14994,6.5,4.1,11440,5.0,60,164,7,197,5.7,616,17.8,2386,69.0,2.4,1214,387,315,891,21.6,314,8.9,451,3372,358,2992,82,380,758,6889,,,,
17 Game Avg,,17,17,352,556,4902,8.8,2296,6.5,4.1,1752,5.0,9,25,1,30,5.7,94,17.8,,,2.4,186,59,48,136,21.6,48,8.9,,,,,,,,,,,,
