Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2018,22,BUF,NFL,QB,12,11,89,631,8,41,59.6,45,7.1,52.6,7.4,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,89,7.1,631,8,8,
2019,23,BUF,NFL,QB,16,16,109,510,9,42,54.1,36,4.7,31.9,6.8,0,0,0,,0,0,,,0.0,0.0,,,109,4.7,510,9,14,
2020,24,BUF,NFL,QB,16,16,102,421,8,38,54.9,24,4.1,26.3,6.4,1,1,12,12.0,1,1,100.0,12,0.1,0.8,100.0,12.0,103,4.2,433,9,9,"PB,AP-2,AP MVP-2,AP OPoY-4"
2021,25,BUF,NFL,QB,17,17,122,763,6,54,61.5,34,6.3,44.9,7.2,0,0,0,,0,0,,,0.0,0.0,,,122,6.3,763,6,8,
2022,26,BUF,NFL,QB,16,16,124,762,7,55,61.3,44,6.1,47.6,7.8,0,0,0,,0,0,,,0.0,0.0,,,124,6.1,762,7,13,"PB,AP MVP-3,AP OPoY-8"
2023,27,BUF,NFL,QB,17,17,111,524,15,57,65.8,23,4.7,30.8,6.5,0,0,0,,0,0,,,0.0,0.0,,,111,4.7,524,15,7,"AP MVP-5,AP OPoY-6"
2024,28,BUF,NFL,QB,17,17,102,531,12,52,64.7,30,5.2,31.2,6.0,0,0,7,,1,0,,7,0.0,0.4,,,102,5.3,538,13,5,"PB,AP-2,AP MVP-1,AP OPoY-6"
7 Yrs,,111,110,759,4142,65,339,60.3,45,5.5,37.3,6.8,2,1,19,19.0,2,1,50.0,12,0.0,0.2,50.0,9.5,760,5.5,4161,67,64,,,,
17 Game Avg,,17,17,116,634,10,52,60.3,45,5.5,37.3,6.8,0,0,3,19.0,0,0,50.0,12,0.0,0.2,50.0,9.5,116,0.8,637,10,10,,,,
