Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2018,22,BUF,NFL,QB,12,11,8,0,0,0,0,0,0,8,0,,0,0,0,0,0,48,4.0,
2019,23,BUF,NFL,QB,16,16,9,0,0,0,0,0,0,9,1,,0,0,0,0,0,56,3.5,
2020,24,BUF,NFL,QB,16,16,8,1,0,0,0,0,0,9,0,,0,0,0,0,0,54,3.4,"PB,AP-2,AP MVP-2,AP OPoY-4"
2021,25,BUF,NFL,QB,17,17,6,0,0,0,0,0,0,6,2,0,0,0,0,0,0,40,2.4,
2022,26,BUF,NFL,QB,16,16,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0,44,2.8,"PB,AP MVP-3,AP OPoY-8"
2023,27,BUF,NFL,QB,17,17,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,90,5.3,"AP MVP-5,AP OPoY-6"
2024,28,BUF,NFL,QB,17,17,12,1,0,0,0,0,0,13,0,0,0,0,0,0,0,78,4.6,"PB,AP-2,AP MVP-1,AP OPoY-6"
7 Yrs,,111,110,65,2,0,0,0,0,0,67,4,0,0,0,0,0,0,410,3.7,,,,
17 Game Avg,,17,17,10,0,0,0,0,0,0,10,1,,0,0,0,0,0,63,3.7,,,,
