Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2018,22,BUF,QB,17,12,11,719,93%,0,0%,0,0%
2019,23,BUF,QB,17,16,16,988,92%,0,0%,0,0%
2020*,24,BUF,QB,17,16,16,1035,95%,0,0%,0,0%
2021,25,BUF,QB,17,17,17,1161,97%,0,0%,0,0%
2022*,26,BUF,QB,17,16,16,1061,98%,0,0%,0,0%
2023,27,BUF,QB,17,17,17,1126,97%,0,0%,0,0%
2024*,28,BUF,QB,17,17,17,968,89%,0,0%,0,0%
Career,,,,,,7058,,0,,0,,
