Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32
,Rushing,Receiving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
2018,21,NYG,NFL,RB,16,16,261,1307,50,571,2.2,736,2.8,30,8.7,121,91,721,30,-47,-0.5,768,8.4,0.1,13,7.0,4,3.3,1,97.2,"PB,AP ORoY-1"
2019,22,NYG,NFL,RB,13,13,217,1003,45,398,1.8,605,2.8,16,13.6,73,52,438,14,0,0.0,438,8.4,0.8,8,6.5,4,5.5,0,95.6,
2020,23,NYG,NFL,RB,2,2,19,34,1,-1,-0.1,35,1.8,1,19.0,9,6,60,3,5,0.8,55,9.2,3.8,1,6.0,1,11.1,0,85.4,
2021,24,NYG,NFL,RB,13,13,162,593,27,314,1.9,279,1.7,4,40.5,57,41,263,13,-35,-0.9,298,7.3,0.5,4,10.3,6,10.5,0,92.9,
2022,25,NYG,NFL,RB,16,16,295,1312,62,749,2.5,563,1.9,12,24.6,76,57,338,10,-96,-1.7,434,7.6,-0.2,3,19.0,6,7.9,1,77.6,"PB,AP CPoY-3"
2023,26,NYG,NFL,RB,14,14,247,962,51,480,1.9,482,2.0,12,20.6,60,41,280,16,54,1.3,226,5.5,2.5,3,13.7,5,8.3,3,79.9,
2024,27,PHI,NFL,RB,16,16,345,2005,82,1328,3.8,677,2.0,19,18.2,43,33,278,12,33,1.0,245,7.4,1.9,6,5.5,2,4.7,0,108.5,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
7 Yrs,,90,90,1546,7216,318,3839,2.5,3377,2.2,94,16.4,439,321,2378,98,-86,-0.3,2464,7.7,0.8,38,8.4,28,6.4,5,91.5,,,,
17 Game Avg,,17,17,292,1363,60,725,2.5,638,2.2,18,16.4,83,61,449,19,-16,-0.3,465,7.7,0.8,7,8.4,5,6.4,1,91.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYG (6 Yrs),,74,74,1201,5211,236,2511,2.1,2700,2.2,75,16.0,396,288,2100,86,-119,-0.4,2219,7.7,0.7,32,9.0,26,6.6,5,89.6,,,,
PHI (1 Yr),,16,16,345,2005,82,1328,3.8,677,2.0,19,18.2,43,33,278,12,33,1.0,245,7.4,1.9,6,5.5,2,4.7,0,108.5,,,,
