Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2019,22,NYG,NFL,RB,13,13,0,0,0,0,0,0,1,2,0,0,0.0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
2021,24,NYG,NFL,RB,13,13,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
2022,25,NYG,NFL,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-3"
2023,26,NYG,NFL,RB,14,14,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
2024,27,PHI,NFL,RB,16,16,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
7 Yrs,,90,90,0,0,0,0,0,0,8,5,0,0,0.0,0,0,0,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NYG (6 Yrs),,74,74,0,0,0,0,0,0,6,3,0,0,0.0,0,0,0,0,0,0,,,,
PHI (1 Yr),,16,16,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,,,,
