Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2018,21,NYG,NFL,RB,16,16,261,1307,11,50,39.8,78,5.0,81.7,16.3,121,91,721,7.9,4,30,38.0,57,5.7,45.1,75.2,6.0,352,5.8,2028,15,0,14,"PB,AP ORoY-1"
2019,22,NYG,NFL,RB,13,13,217,1003,6,45,43.3,68,4.6,77.2,16.7,73,52,438,8.4,2,14,34.2,65,4.0,33.7,71.2,6.0,269,5.4,1441,8,1,9,
2020,23,NYG,NFL,RB,2,2,19,34,0,1,26.3,18,1.8,17.0,9.5,9,6,60,10.0,0,3,44.4,38,3.0,30.0,66.7,6.7,25,3.8,94,0,0,1,
2021,24,NYG,NFL,RB,13,13,162,593,2,27,42.0,41,3.7,45.6,12.5,57,41,263,6.4,2,13,36.8,54,3.2,20.2,71.9,4.6,203,4.2,856,4,2,5,
2022,25,NYG,NFL,RB,16,16,295,1312,10,62,47.5,68,4.4,82.0,18.4,76,57,338,5.9,0,10,38.2,41,3.6,21.1,75.0,4.4,352,4.7,1650,10,1,11,"PB,AP CPoY-3"
2023,26,NYG,NFL,RB,14,14,247,962,6,51,40.1,36,3.9,68.7,17.6,60,41,280,6.8,4,16,43.3,46,2.9,20.0,68.3,4.7,288,4.3,1242,10,2,6,
2024,27,PHI,NFL,RB,16,16,345,2005,13,82,52.5,72,5.8,125.3,21.6,43,33,278,8.4,2,12,44.2,43,2.1,17.4,76.7,6.5,378,6.0,2283,15,2,18,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
7 Yrs,,90,90,1546,7216,48,318,44.7,78,4.7,80.2,17.2,439,321,2378,7.4,14,98,38.7,65,3.6,26.4,73.1,5.4,1867,5.1,9594,62,8,64,,,,
17 Game Avg,,17,17,292,1363,9,60,44.7,78,4.7,80.2,17.2,83,61,449,7.4,3,19,38.7,65,3.6,26.4,73.1,5.4,353,1.0,1812,12,2,12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYG (6 Yrs),,74,74,1201,5211,35,236,42.5,78,4.3,70.4,16.2,396,288,2100,7.3,12,86,38.1,65,3.9,28.4,72.7,5.3,1489,4.9,7311,47,6,46,,,,
PHI (1 Yr),,16,16,345,2005,13,82,52.5,72,5.8,125.3,21.6,43,33,278,8.4,2,12,44.2,43,2.1,17.4,76.7,6.5,378,6.0,2283,15,2,18,,,,
