Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2018,21,NYG,NFL,RB,16,16,11,4,0,0,0,0,0,15,1,,0,0,0,0,0,92,5.8,"PB,AP ORoY-1"
2019,22,NYG,NFL,RB,13,13,6,2,0,0,0,0,0,8,0,,0,0,0,0,0,48,3.7,
,,,,,,,,,,,,,,,,,,,,,,,,
2021,24,NYG,NFL,RB,13,13,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,24,1.8,
2022,25,NYG,NFL,RB,16,16,10,0,0,0,0,0,0,10,1,0,0,0,0,0,0,62,3.9,"PB,AP CPoY-3"
2023,26,NYG,NFL,RB,14,14,6,4,0,0,0,0,0,10,1,0,0,0,0,0,0,62,4.4,
2024,27,PHI,NFL,RB,16,16,13,2,0,0,0,0,0,15,3,0,0,0,0,0,0,96,6.0,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
7 Yrs,,90,90,48,14,0,0,0,0,0,62,6,0,0,0,0,0,0,384,4.3,,,,
17 Game Avg,,17,17,9,3,0,0,0,0,0,12,1,,0,0,0,0,0,73,4.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NYG (6 Yrs),,74,74,35,12,0,0,0,0,0,47,3,0,0,0,0,0,0,288,3.9,,,,
PHI (1 Yr),,16,16,13,2,0,0,0,0,0,15,3,0,0,0,0,0,0,96,6.0,,,,
