Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2018*,21,NYG,RB,26,16,16,852,83%,0,0%,2,0%
2019,22,NYG,RB,26,13,13,728,84%,0,0%,1,0%
2020,23,NYG,RB,26,2,2,67,50%,0,0%,0,0%
2021,24,NYG,RB,26,13,13,513,61%,0,0%,0,0%
2022*,25,NYG,RB,26,16,16,856,80%,0,0%,2,1%
2023,26,NYG,RB,26,14,14,717,79%,0,0%,0,0%
2024*+,27,PHI,RB,26,16,16,801,74%,0,0%,0,0%
Career,,,,,,4534,,0,,5,,
6 yrs,NYG,,,74,74,3733,,0,,5,,
1 yr,PHI,,,16,16,801,,0,,0,,
