Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32
,Receiving,Rushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
2018,26,NYG,NFL,WR,12,12,124,77,1052,50,747,9.7,305,4.0,11.5,6,12.8,4,3.2,4,91.9,5,19,2,14,2.8,5,1.0,0,,
2019,27,CLE,NFL,WR,16,15,133,74,1035,44,709,9.6,326,4.4,13.0,2,37.0,7,5.3,7,69.0,3,10,1,4,1.3,6,2.0,1,3.0,
2020,28,CLE,NFL,WR,7,7,43,23,319,17,273,11.9,46,2.0,13.6,2,11.5,1,2.3,1,91.1,3,72,2,18,6.0,54,18.0,0,,
2021,29,2TM,NFL,WR,14,13,82,44,537,27,386,8.8,151,3.4,13.3,1,44.0,2,2.4,3,79.2,2,14,1,12,6.0,2,1.0,0,,
2021,29,CLE,NFL,WR,6,6,34,17,232,11,184,10.8,48,2.8,13.9,1,17.0,2,5.9,0,72.2,2,14,1,12,6.0,2,1.0,0,,
2021,29,LAR,NFL,WR,8,7,48,27,305,16,202,7.5,103,3.8,12.9,0,,0,0.0,3,84.1,0,0,0,0,,0,,0,,
2022,Did not play - Did not sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,31,BAL,NFL,WR,14,6,64,35,565,27,410,11.7,155,4.4,13.9,0,,3,4.7,1,93.6,0,0,0,0,,0,,0,,
2024,32,MIA,NFL,WR,9,0,18,9,55,3,41,4.6,14,1.6,7.6,0,,1,5.6,1,33.3,0,0,0,0,,0,,0,,
6 Yrs,,72,53,464,262,3563,168,2566,9.8,997,3.8,12.6,11,23.8,18,3.9,17,81.0,13,115,6,48,3.7,67,5.2,1,13.0,,,,
17 Game Avg,,17,13,110,62,841,40,606,9.8,235,3.8,12.6,3,23.8,4,3.9,4,81.0,3,27,1,11,3.7,16,5.2,0,13.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),,29,28,210,114,1586,72,1166,10.2,420,3.7,13.3,5,22.8,10,4.8,8,74.0,8,96,4,34,4.3,62,7.8,1,8.0,,,,
BAL (1 Yr),,14,6,64,35,565,27,410,11.7,155,4.4,13.9,0,,3,4.7,1,93.6,0,0,0,0,,0,,0,,,,,
NYG (1 Yr),,12,12,124,77,1052,50,747,9.7,305,4.0,11.5,6,12.8,4,3.2,4,91.9,5,19,2,14,2.8,5,1.0,0,,,,,
MIA (1 Yr),,9,0,18,9,55,3,41,4.6,14,1.6,7.6,0,,1,5.6,1,33.3,0,0,0,0,,0,,0,,,,,
LAR (1 Yr),,8,7,48,27,305,16,202,7.5,103,3.8,12.9,0,,0,0.0,3,84.1,0,0,0,0,,0,,0,,,,,
