Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2014,22,NYG,NFL,WR,12,11,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,"PB,AP ORoY-1"
2015,23,NYG,NFL,WR,15,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
2016,24,NYG,NFL,WR,16,16,0,0,0,0,1,0,3,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
,,,,,,,,,,,,,,,,,,,,,,,,
2018,26,NYG,NFL,WR,12,12,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
2019,27,CLE,NFL,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
2021,29,2TM,NFL,WR,14,13,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
2021,29,LAR,NFL,WR,8,7,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
2022,Did not play - Did not sign,,,,,,,,,,,,,,,,,,,,,,,
2023,31,BAL,NFL,WR,14,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
10 Yrs,,119,97,0,0,0,0,1,0,10,2,0,0,0.0,3,3,0,0,0,0,,,,
17 Game Avg,,17,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NYG (5 Yrs),,59,56,0,0,0,0,1,0,8,2,0,0,0.0,1,1,0,0,0,0,,,,
CLE (3 Yrs),,29,28,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,,,
BAL (1 Yr),,14,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,,,
MIA (1 Yr),,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,
LAR (1 Yr),,8,7,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,,,
