Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
2014,22,NYG,NFL,WR,12,11,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.3,0,0,0.00,0.00,0.00,0,0,"PB,AP ORoY-1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,24,NYG,NFL,WR,16,16,0,0,,0,0,,0,,0,,,,,,0.0,,0.1,1,6,100.00,-6.00,-6.00,0,0,"PB,AP-2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,26,NYG,NFL,WR,12,12,2,2,100.0,106,2,100.0,0,0.0,2,100.0,57,53.0,73.00,53.0,8.8,158.3,100.0,0,0,0.00,53.00,73.00,0,0,
2019,27,CLE,NFL,WR,16,15,1,2,50.0,20,0,0.0,0,0.0,1,50.0,20,10.0,10.00,20.0,1.3,85.4,81.0,0,0,0.00,10.00,10.00,0,0,
2020,28,CLE,NFL,WR,7,7,1,1,100.0,18,0,0.0,0,0.0,1,100.0,18,18.0,18.00,18.0,2.6,118.7,98.9,0,0,0.00,18.00,18.00,0,0,
10 Yrs,,119,97,4,6,66.7,144,2,33.3,0,0.0,4,57.1,57,24.0,30.67,36.0,1.2,149.3,,1,6,14.29,19.71,25.43,0,0,,,,
17 Game Avg,,17,14,1,1,66.7,21,0,33.3,0,0.0,1,57.1,,24.0,30.67,36.0,1.2,149.3,,0,1,14.29,19.71,25.43,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYG (5 Yrs),,59,56,2,3,66.7,106,2,66.7,0,0.0,2,50.0,57,35.3,48.67,53.0,1.8,149.3,,1,6,25.00,25.00,35.00,0,0,,,,
CLE (3 Yrs),,29,28,2,3,66.7,38,0,0.0,0,0.0,2,66.7,20,12.7,12.67,19.0,1.3,109.7,,0,0,0.00,12.67,12.67,0,0,,,,
BAL (1 Yr),,14,6,0,0,,0,0,,0,,0,,,,,,0.0,,,0,0,,,,0,0,,,,
MIA (1 Yr),,9,0,0,0,,0,0,,0,,0,,,,,,0.0,,,0,0,,,,0,0,,,,
LAR (1 Yr),,8,7,0,0,,0,0,,0,,0,,,,,,0.0,,,0,0,,,,0,0,,,,
