Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41
,Air Yards,Accuracy,Pressure,RPO,PlayAction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
2018,26,NYG,NFL,WR,12,12,2,2,68,34.0,68,34.0,34.0,38,19.0,0,0,0,0,0.0,0,0.0,,,3.0,2,0,0,0,0.0,0,,,,,,,,,
2019,27,CLE,NFL,WR,16,15,1,2,65,32.5,15,15.0,7.5,5,5.0,0,0,0,0,0.0,0,0.0,2,100.0,2.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,
2020,28,CLE,NFL,WR,7,7,1,1,17,17.0,17,17.0,17.0,1,1.0,0,0,0,0,0.0,0,0.0,1,100.0,1.7,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,
6 Yrs,,72,53,4,5,150,30.0,100,25.0,20.0,44,11.0,0,0,0,0,0.0,0,0.0,3,60.0,2.3,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,,
17 Game Avg,,17,13,1,1,35,30.0,24,25.0,20.0,10,11.0,0,0,0,0,0.0,0,0.0,,,,1,0,0,0,0.0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),,29,28,2,3,82,27.3,32,16.0,10.7,6,3.0,0,0,0,0,0.0,0,0.0,3,100.0,2.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,,
BAL (1 Yr),,14,6,0,0,0,,0,,,0,,0,0,0,0,,0,,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,
NYG (1 Yr),,12,12,2,2,68,34.0,68,34.0,34.0,38,19.0,0,0,0,0,0.0,0,0.0,,,3.0,2,0,0,0,0.0,0,,,,,,,,,,,,
MIA (1 Yr),,9,0,0,0,0,,0,,,0,,0,0,0,0,,0,,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,
LAR (1 Yr),,8,7,0,0,0,,0,,,0,,0,0,0,0,,0,,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,
