Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35
,Receiving,Rushing,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2014,22,NYG,NFL,WR,12,11,130,91,1305,14.3,12,58,60.8,80,7.6,108.8,70.0,10.0,7,35,0,2,57.1,13,5.0,2.9,0.6,98,13.7,1340,12,1,11,"PB,AP ORoY-1"
2015,23,NYG,NFL,WR,15,15,158,96,1450,15.1,13,68,53.2,87,6.4,96.7,60.8,9.2,1,3,0,1,0.0,3,3.0,0.2,0.1,97,15.0,1453,13,2,13,"PB,AP-2"
2016,24,NYG,NFL,WR,16,16,169,101,1367,13.5,10,66,49.7,75,6.3,85.4,59.8,8.1,1,9,0,0,100.0,9,9.0,0.6,0.1,102,13.5,1376,10,3,10,"PB,AP-2"
2017,25,NYG,NFL,WR,4,2,41,25,302,12.1,3,14,51.2,48,6.3,75.5,61.0,7.4,1,8,0,0,100.0,8,8.0,2.0,0.3,26,11.9,310,3,0,2,
2018,26,NYG,NFL,WR,12,12,124,77,1052,13.7,6,50,50.8,51,6.4,87.7,62.1,8.5,5,19,0,2,40.0,11,3.8,1.6,0.4,82,13.1,1071,6,2,9,
2019,27,CLE,NFL,WR,16,15,133,74,1035,14.0,4,44,46.6,89,4.6,64.7,55.6,7.8,3,10,0,1,66.7,11,3.3,0.6,0.2,77,13.6,1045,4,1,9,
2020,28,CLE,NFL,WR,7,7,43,23,319,13.9,3,17,44.2,43,3.3,45.6,53.5,7.4,3,72,1,2,66.7,50,24.0,10.3,0.4,26,15.0,391,4,0,4,
2021,29,2TM,NFL,WR,14,13,82,44,537,12.2,5,27,48.8,54,3.1,38.4,53.7,6.5,2,14,0,1,50.0,10,7.0,1.0,0.1,46,12.0,551,5,0,5,
2021,29,CLE,NFL,WR,6,6,34,17,232,13.6,0,11,47.1,26,2.8,38.7,50.0,6.8,2,14,0,1,50.0,10,7.0,2.3,0.3,19,12.9,246,0,0,2,
2021,29,LAR,NFL,WR,8,7,48,27,305,11.3,5,16,50.0,54,3.4,38.1,56.3,6.4,0,0,0,0,,,,0.0,0.0,27,11.3,305,5,0,3,
2022,Did not play - Did not sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,31,BAL,NFL,WR,14,6,64,35,565,16.1,3,27,50.0,51,2.5,40.4,54.7,8.8,0,0,0,0,,,,0.0,0.0,35,16.1,565,3,1,6,
2024,32,MIA,NFL,WR,9,0,18,9,55,6.1,0,3,27.8,11,1.0,6.1,50.0,3.1,0,0,0,0,,,,0.0,0.0,9,6.1,55,0,0,0,
10 Yrs,,119,97,962,575,7987,13.9,59,374,50.8,89,4.8,67.1,59.8,8.3,23,170,1,9,56.5,50,7.4,1.4,0.2,598,13.6,8157,60,10,69,,,,
17 Game Avg,,17,14,137,82,1141,13.9,8,53,50.8,89,4.8,67.1,59.8,8.3,3,24,0,1,56.5,50,7.4,1.4,0.2,85,1.9,1165,9,1,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYG (5 Yrs),,59,56,622,390,5476,14.0,44,256,53.2,87,6.6,92.8,62.7,8.8,15,74,0,5,53.3,13,4.9,1.3,0.3,405,13.7,5550,44,8,45,,,,
CLE (3 Yrs),,29,28,210,114,1586,13.9,7,72,46.2,89,3.9,54.7,54.3,7.6,8,96,1,4,62.5,50,12.0,3.3,0.3,122,13.8,1682,8,1,15,,,,
BAL (1 Yr),,14,6,64,35,565,16.1,3,27,50.0,51,2.5,40.4,54.7,8.8,0,0,0,0,,,,0.0,0.0,35,16.1,565,3,1,6,,,,
MIA (1 Yr),,9,0,18,9,55,6.1,0,3,27.8,11,1.0,6.1,50.0,3.1,0,0,0,0,,,,0.0,0.0,9,6.1,55,0,0,0,,,,
LAR (1 Yr),,8,7,48,27,305,11.3,5,16,50.0,54,3.4,38.1,56.3,6.4,0,0,0,0,,,,0.0,0.0,27,11.3,305,5,0,3,,,,
