Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19
,Punt Returns,Kick Returns,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
2014,22,NYG,NFL,WR,12,11,21,171,0,25,8.1,0,0,0,0,,1511,"PB,AP ORoY-1"
2015,23,NYG,NFL,WR,15,15,2,26,0,21,13.0,0,0,0,0,,1479,"PB,AP-2"
2016,24,NYG,NFL,WR,16,16,10,66,0,19,6.6,0,0,0,0,,1442,"PB,AP-2"
2017,25,NYG,NFL,WR,4,2,0,0,0,0,,1,20,0,20,20.0,330,
2018,26,NYG,NFL,WR,12,12,8,34,0,16,4.3,1,26,0,26,26.0,1131,
2019,27,CLE,NFL,WR,16,15,1,-6,0,-6,-6.0,0,0,0,0,,1039,
10 Yrs,,119,97,42,291,0,25,6.9,2,46,0,26,23.0,8494,,,,
17 Game Avg,,17,14,6,42,0,4,6.9,0,7,0,4,23.0,1213,,,,
,,,,,,,,,,,,,,,,,,
NYG (5 Yrs),,59,56,41,297,0,25,7.2,2,46,0,26,23.0,5893,,,,
CLE (3 Yrs),,29,28,1,-6,0,0,-6.0,0,0,0,0,,1676,,,,
BAL (1 Yr),,14,6,0,0,0,0,,0,0,0,0,,565,,,,
MIA (1 Yr),,9,0,0,0,0,0,,0,0,0,0,,55,,,,
LAR (1 Yr),,8,7,0,0,0,0,,0,0,0,0,,305,,,,
