Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2014,22,NYG,NFL,WR,12,11,0,12,0,0,0,0,0,12,0,,0,0,0,0,0,72,6.0,"PB,AP ORoY-1"
2015,23,NYG,NFL,WR,15,15,0,13,0,0,0,0,0,13,0,,0,0,0,0,0,78,5.2,"PB,AP-2"
2016,24,NYG,NFL,WR,16,16,0,10,0,0,0,0,0,10,0,,0,0,0,0,0,60,3.8,"PB,AP-2"
2017,25,NYG,NFL,WR,4,2,0,3,0,0,0,0,0,3,0,,0,0,0,0,0,18,4.5,
2018,26,NYG,NFL,WR,12,12,0,6,0,0,0,0,0,6,0,,0,0,0,0,0,36,3.0,
2019,27,CLE,NFL,WR,16,15,0,4,0,0,0,0,0,4,0,,0,0,0,0,0,24,1.5,
2020,28,CLE,NFL,WR,7,7,1,3,0,0,0,0,0,4,0,,0,0,0,0,0,24,3.4,
2021,29,2TM,NFL,WR,14,13,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.1,
2021,29,LAR,NFL,WR,8,7,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,3.8,
2022,Did not play - Did not sign,,,,,,,,,,,,,,,,,,,,,,,
2023,31,BAL,NFL,WR,14,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.3,
10 Yrs,,119,97,1,59,0,0,0,0,0,60,0,0,0,0,0,0,0,360,3.0,,,,
17 Game Avg,,17,14,0,8,0,0,0,0,0,9,0,,0,0,0,0,0,51,3.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NYG (5 Yrs),,59,56,0,44,0,0,0,0,0,44,0,,0,0,0,0,0,264,4.5,,,,
CLE (3 Yrs),,29,28,1,7,0,0,0,0,0,8,0,0,0,0,0,0,0,48,1.7,,,,
BAL (1 Yr),,14,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.3,,,,
MIA (1 Yr),,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
LAR (1 Yr),,8,7,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,3.8,,,,
