Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2014*,22,NYG,WR,13,12,11,771,91%,0,0%,45,12%
2015*,23,NYG,WR,13,15,15,998,95%,1,0%,15,3%
2016*,24,NYG,WR,13,16,16,1002,94%,1,0%,20,4%
2017,25,NYG,WR,13,4,2,211,77%,0,0%,4,4%
2018,26,NYG,WR,13,12,12,716,94%,0,0%,20,6%
2019,27,CLE,WR,13,16,15,993,95%,0,0%,1,0%
2020,28,CLE,WR,13,7,7,316,70%,0,0%,0,0%
2021,29,2TM,WR,,14,13,666,,0,,0,
,,CLE,WR,13,6,6,290,69%,0,0%,0,0%
,,,,,,,376,75%,0,0%,0,0%
2023,31,BAL,WR,3,14,6,465,50%,0,0%,0,0%
2024,32,MIA,WR,3,9,0,119,20%,0,0%,1,0%
Career,,,,,,6257,,2,,106,,
5 yrs,NYG,,,59,56,3698,,2,,104,,
3 yrs,CLE,,,29,28,1599,,0,,1,,
1 yr,,,,,,376,,0,,0,,
1 yr,BAL,,,14,6,465,,0,,0,,
1 yr,MIA,,,9,0,119,,0,,1,,
