Name,Role
Jim Bates,"Defensive Backs, Defensive Line"
Romeo Crennel,"Defensive Coordinator, Defensive Coordinator/Defensive Line"
Brian Daboll,"Assistant Coach, Defensive Assistant, Tight Ends, Wide Receivers"
Rod Dowhower,Quarterbacks
Brian Flores,"Asst. Offense/Special Teams Coach, Defensive Assistant, Linebackers, Pro Scout, Safeties, Scouting Assistant, Special Teams Assistant"
Al Groh,Linebackers
Hal Hunter,Offensive Line
Joe Judge,"Offensive Assistant, Quarterbacks/Offensive Assistant, Special Teams Assistant, Special Teams Coordinator, Special Teams Coordinator/Wide Receivers"
Eric Mangini,"Coaches Assistant, Defensive Backs, Defensive Coordinator"
Jerod Mayo,"Inside Linebackers, Linebackers"
Josh McDaniels,"Defensive Assistant, Offensive Coordinator, Offensive Coordinator/Quarterbacks, Personnel Assistant, Quarterbacks"
Bill O'Brien,"Offensive Assistant, Offensive Coordinator, Offensive Coordinator/Quarterbacks, Quarterbacks, Wide Receivers"
Matt Patricia,"Asst. Head Coach, Asst. Offensive Line, Defensive Coordinator, Linebackers, Offensive Assistant, Offensive Line/Senior Advisor, Safeties"
Nick Saban,Defensive Coordinator
Jim Schwartz,Personnel Scout
Rick Venturi,Defensive Coordinator
