Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2001,22,SDG,NFL,QB,1,0,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,,0,
2002,23,SDG,NFL,QB,16,16,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,,0,
2003,24,SDG,NFL,QB,11,11,0,0,0,0,0,0,5,0,-1,0,0.0,0,0,0,0,,0,
2004,25,SDG,NFL,QB,15,15,0,0,0,0,0,0,7,3,-9,0,0.0,0,0,0,0,,0,"PB,AP OPoY-5,AP CPoY-1"
2005,26,SDG,NFL,QB,16,16,0,0,0,0,0,0,8,0,0,0,0.0,0,0,0,0,,0,
2006,27,NOR,NFL,QB,16,16,0,0,0,0,0,0,8,1,-3,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-2"
2007,28,NOR,NFL,QB,16,16,0,0,0,0,0,0,9,0,-6,0,0.0,0,0,0,0,0,0,
2008,29,NOR,NFL,QB,16,16,0,0,0,0,0,0,6,2,-34,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP OPoY-1"
2009,30,NOR,NFL,QB,15,15,0,0,0,0,0,0,10,2,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-2"
2010,31,NOR,NFL,QB,16,16,0,0,0,0,0,0,9,5,0,0,0.0,0,0,0,0,0,0,PB
2011,32,NOR,NFL,QB,16,16,0,0,0,0,0,0,1,0,-15,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-1"
2012,33,NOR,NFL,QB,16,16,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,PB
2013,34,NOR,NFL,QB,16,16,0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,,,0,"PB,AP OPoY-4"
2014,35,NOR,NFL,QB,16,16,0,0,0,0,0,0,7,4,-22,0,0.0,0,0,0,0,0,0,PB
2015,36,NOR,NFL,QB,15,15,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,
2016,37,NOR,NFL,QB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,"PB,AP OPoY-6"
2017,38,NOR,NFL,QB,16,16,0,0,0,0,0,0,5,3,-12,0,0.0,0,0,0,0,0,0,PB
2018,39,NOR,NFL,QB,15,15,0,0,0,0,0,0,5,4,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-2"
,,,,,,,,,,,,,,,,,,,,,,,,
2020,41,NOR,NFL,QB,12,12,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,,,
20 Yrs,,287,286,0,0,0,0,0,0,111,34,-102,0,0.0,0,0,0,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,7,2,-6,0,0.0,0,0,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NOR (15 Yrs),,228,228,0,0,0,0,0,0,87,28,-92,0,0.0,0,0,0,0,0,0,,,,
SDG (5 Yrs),,59,58,0,0,0,0,0,0,24,6,-10,0,0.0,0,0,0,0,,0,,,,
