Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2001,22,1,QB,15,,47,,All 2001 Games
2002,23,16,QB,188,,16,,All 2002 Games
2003,24,11,QB,111,,27,,All 2003 Games
2004,25,15,QB,241,22,9,56,All 2004 Games
2005,26,16,QB,210,14,9,57,All 2005 Games
2006,27,16,QB,260,76,3,12,All 2006 Games
2007,28,16,QB,257,53,5,26,All 2007 Games
2008,29,16,QB,303,99,1,3,All 2008 Games
2009,30,15,QB,294,66,2,19,All 2009 Games
2010,31,16,QB,269,40,6,36,All 2010 Games
2011,32,16,QB,394,171,2,2,All 2011 Games
2012,33,16,QB,346,95,1,10,All 2012 Games
2013,34,16,QB,358,99,2,10,All 2013 Games
2014,35,16,QB,303,37,6,39,All 2014 Games
2015,36,15,QB,304,20,6,49,All 2015 Games
2016,37,16,QB,332,72,3,14,All 2016 Games
2017,38,16,QB,263,7,9,63,All 2017 Games
2018,39,15,QB,304,21,8,52,All 2018 Games
2019,40,11,QB,225,,21,,All 2019 Games
2020,41,12,QB,209,,21,,All 2020 Games
,,,,5186,,,,Career Summary
