Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2001,22,SDG,NFL,QB,1,0,2,18,0,1,100.0,13,9.0,18.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,9.0,18,0,2,
2002,23,SDG,NFL,QB,16,16,38,130,1,11,31.6,15,3.4,8.1,2.4,0,0,0,,0,0,,,0.0,0.0,,,38,3.4,130,1,2,
2003,24,SDG,NFL,QB,11,11,21,84,0,8,47.6,18,4.0,7.6,1.9,1,1,21,21.0,1,1,100.0,21,0.1,1.9,100.0,21.0,22,4.8,105,1,5,
2004,25,SDG,NFL,QB,15,15,53,85,2,18,39.6,22,1.6,5.7,3.5,1,1,38,38.0,0,1,100.0,38,0.1,2.5,100.0,38.0,54,2.3,123,2,7,"PB,AP OPoY-5,AP CPoY-1"
2005,26,SDG,NFL,QB,16,16,21,49,1,8,47.6,9,2.3,3.1,1.3,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,21,2.3,49,1,8,
2006,27,NOR,NFL,QB,16,16,42,32,0,5,11.9,16,0.8,2.0,2.6,0,0,0,,0,0,,,0.0,0.0,,,42,0.8,32,0,8,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-2"
2007,28,NOR,NFL,QB,16,16,23,52,1,8,34.8,9,2.3,3.3,1.4,2,2,10,5.0,0,0,50.0,8,0.1,0.6,100.0,5.0,25,2.5,62,1,9,
2008,29,NOR,NFL,QB,16,16,22,-1,0,4,22.7,9,0.0,-0.1,1.4,0,0,0,,0,0,,,0.0,0.0,,,22,0.0,-1,0,6,"PB,AP-2,AP OPoY-1"
