Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2002,23,SDG,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,
2003,24,SDG,NFL,QB,11,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0.5,
2004,25,SDG,NFL,QB,15,15,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,"PB,AP OPoY-5,AP CPoY-1"
2005,26,SDG,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,
,,,,,,,,,,,,,,,,,,,,,,,
2007,28,NOR,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,
,,,,,,,,,,,,,,,,,,,,,,,
2009,30,NOR,NFL,QB,15,15,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,"PB,AP-2,AP MVP-2,AP OPoY-2"
,,,,,,,,,,,,,,,,,,,,,,,
2011,32,NOR,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,"PB,AP-2,AP MVP-2,AP OPoY-1"
2012,33,NOR,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,PB
2013,34,NOR,NFL,QB,16,16,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,1.1,"PB,AP OPoY-4"
2014,35,NOR,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,PB
2015,36,NOR,NFL,QB,15,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,
2016,37,NOR,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,"PB,AP OPoY-6"
2017,38,NOR,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,PB
2018,39,NOR,NFL,QB,15,15,4,0,0,0,0,0,0,4,0,0,0,0,0,0,24,1.6,"PB,AP-2,AP MVP-2,AP OPoY-2"
2019,40,NOR,NFL,QB,11,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.5,PB
2020,41,NOR,NFL,QB,12,12,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,
20 Yrs,,287,286,25,1,0,0,0,0,0,26,0,0,0,0,0,0,156,0.5,,,,
17 Game Avg,,17,17,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NOR (15 Yrs),,228,228,21,0,0,0,0,0,0,21,0,0,0,0,0,0,126,0.6,,,,
SDG (5 Yrs),,59,58,4,1,0,0,0,0,0,5,0,0,0,0,0,0,30,0.5,,,,
