Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2012*,33,NOR,QB,9,16,16,1094,99%,0,0%,0,0%
2013*,34,NOR,QB,9,16,16,1111,99%,0,0%,0,0%
2014*,35,NOR,QB,9,16,16,1139,100%,0,0%,0,0%
2015,36,NOR,QB,9,15,15,1088,100%,0,0%,0,0%
2016*,37,NOR,QB,9,16,16,1154,100%,0,0%,0,0%
2017*,38,NOR,QB,9,16,16,1032,100%,0,0%,0,0%
2018*,39,NOR,QB,9,15,15,979,98%,0,0%,0,0%
2019*,40,NOR,QB,9,11,11,635,87%,0,0%,0,0%
2020,41,NOR,QB,9,12,12,717,89%,0,0%,0,0%
Career,,,,,,8949,,0,,0,,
