Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26
,Rushing,Receiving,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Awards
2018,21,NYJ,NFL,QB,13,13,44,138,16,90,2.0,48,1.1,2,22.0,0,0,0,0,0,0,0,0,0,
2019,22,NYJ,NFL,QB,13,13,33,62,6,54,1.6,8,0.2,0,,0,0,0,0,0,0,0,0,0,
2020,23,NYJ,NFL,QB,12,12,37,217,13,145,3.9,72,1.9,1,37.0,0,0,0,0,0,0,0,0,0,
2021,24,CAR,NFL,QB,12,11,48,222,20,205,4.3,17,0.4,2,24.0,0,0,0,0,0,0,0,0,0,
2022,25,CAR,NFL,QB,6,6,26,106,10,82,3.2,24,0.9,0,,0,0,0,0,0,0,0,0,0,
2023,26,SFO,NFL,QB,10,1,21,15,3,9,0.4,6,0.3,0,,0,0,0,0,0,0,0,0,0,
2024,27,MIN,NFL,QB,17,17,67,212,23,155,2.3,57,0.9,1,67.0,0,0,0,0,0,0,0,0,0,"PB,AP MVP-10,AP CPoY-3"
7 Yrs,,83,73,276,972,91,740,2.7,232,0.8,6,46.0,0,0,0,0,0,0,0,0,0,,,,
17 Game Avg,,17,15,57,199,19,152,2.7,48,0.8,1,46.0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NYJ (3 Yrs),,38,38,114,417,35,289,2.5,128,1.1,3,38.0,0,0,0,0,0,0,0,0,0,,,,
CAR (2 Yrs),,18,17,74,328,30,287,3.9,41,0.6,2,37.0,0,0,0,0,0,0,0,0,0,,,,
MIN (1 Yr),,17,17,67,212,23,155,2.3,57,0.9,1,67.0,0,0,0,0,0,0,0,0,0,,,,
SFO (1 Yr),,10,1,21,15,3,9,0.4,6,0.3,0,,0,0,0,0,0,0,0,0,0,,,,
