Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2018,21,NYJ,NFL,QB,13,13,0,0,0,0,0,0,5,2,-11,0,0.0,0,0,0,0,0,0,
2019,22,NYJ,NFL,QB,13,13,0,0,0,0,0,0,11,3,-16,0,0.0,0,0,0,0,0,0,
2020,23,NYJ,NFL,QB,12,12,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,
2021,24,CAR,NFL,QB,12,11,0,0,0,0,0,0,9,3,5,0,0.0,0,0,0,0,0,0,
2022,25,CAR,NFL,QB,6,6,0,0,0,0,0,0,6,3,-1,0,0.0,0,0,0,0,0,0,
2023,26,SFO,NFL,QB,10,1,0,0,0,0,0,0,3,2,-1,0,0.0,0,0,0,0,0,0,
2024,27,MIN,NFL,QB,17,17,0,0,0,0,0,0,8,2,-27,0,0.0,0,0,0,0,0,0,"PB,AP MVP-10,AP CPoY-3"
7 Yrs,,83,73,0,0,0,0,0,0,46,15,-51,0,0.0,0,0,0,0,0,0,,,,
17 Game Avg,,17,15,0,0,0,0,0,0,9,3,-10,0,0.0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NYJ (3 Yrs),,38,38,0,0,0,0,0,0,20,5,-27,0,0.0,0,0,0,0,0,0,,,,
CAR (2 Yrs),,18,17,0,0,0,0,0,0,15,6,4,0,0.0,0,0,0,0,0,0,,,,
MIN (1 Yr),,17,17,0,0,0,0,0,0,8,2,-27,0,0.0,0,0,0,0,0,0,,,,
SFO (1 Yr),,10,1,0,0,0,0,0,0,3,2,-1,0,0.0,0,0,0,0,0,0,,,,
