Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2018,21,NYJ,NFL,QB,13,13,4-9-0,239,414,57.7,2865,17,4.1,15,3.6,130,43.2,76,6.9,6.11,12.0,220.4,77.6,45.9,30,204,6.76,5.99,5.24,1,1,7,
2019,22,NYJ,NFL,QB,13,13,7-6-0,273,441,61.9,3024,19,4.3,13,2.9,147,43.7,92,6.9,6.39,11.1,232.6,84.3,45.6,33,212,6.96,5.93,5.50,2,3,6,
2020,23,NYJ,NFL,QB,12,12,2-10-0,217,364,59.6,2208,9,2.5,11,3.0,109,38.3,69,6.1,5.20,10.2,184.0,72.7,32.9,35,234,8.77,4.95,4.16,0,0,4,
2021,24,CAR,NFL,QB,12,11,4-7-0,243,406,59.9,2527,9,2.2,13,3.2,123,41.0,63,6.2,5.23,10.4,210.6,71.9,38.8,35,204,7.94,5.27,4.35,0,0,6,
2022,25,CAR,NFL,QB,6,6,4-2-0,82,140,58.6,1143,7,5.0,3,2.1,57,44.0,52,8.2,8.20,13.9,190.5,92.6,51.4,10,78,6.67,7.10,7.13,0,1,4,
2023,26,SFO,NFL,QB,10,1,0-1-0,28,46,60.9,297,2,4.3,1,2.2,15,46.2,48,6.5,6.35,10.6,29.7,85.1,49.3,6,40,11.54,4.94,4.85,0,0,1,
2024,27,MIN,NFL,QB,17,17,14-3-0,361,545,66.2,4319,35,6.4,12,2.2,207,47.7,97,7.9,8.22,12.0,254.1,102.5,60.4,48,335,8.09,6.72,6.99,3,5,14,"PB,AP MVP-10,AP CPoY-3"
7 Yrs,,83,73,35-38-0,1443,2356,61.2,16383,98,4.2,68,2.9,788,43.3,97,7.0,6.49,11.4,197.4,83.9,,197,1307,7.72,5.91,5.47,6,10,42,,,,
17 Game Avg,,17,15,35-38-0,296,483,61.2,3356,20,4.2,14,2.9,161,43.3,97,7.0,6.49,11.4,197.4,83.9,,40,268,7.72,5.91,5.47,1,2,9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYJ (3 Yrs),,38,38,13-25-0,729,1219,59.8,8097,45,3.7,39,3.2,386,41.9,92,6.6,5.94,11.1,213.1,78.6,,98,650,7.44,5.65,5.01,3,4,17,,,,
CAR (2 Yrs),,18,17,8-9-0,325,546,59.5,3670,16,2.9,16,2.9,180,41.8,63,6.7,5.99,11.3,203.9,77.3,,45,282,7.61,5.73,5.06,0,1,10,,,,
MIN (1 Yr),,17,17,14-3-0,361,545,66.2,4319,35,6.4,12,2.2,207,47.7,97,7.9,8.22,12.0,254.1,102.5,,48,335,8.09,6.72,6.99,3,5,14,,,,
SFO (1 Yr),,10,1,0-1-0,28,46,60.9,297,2,4.3,1,2.2,15,46.2,48,6.5,6.35,10.6,29.7,85.1,,6,40,11.54,4.94,4.85,0,0,1,,,,
