Season,Age,Team,Lg,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards
2018,21,NYJ,NFL,QB,13,13,94,95,88,88,78,96,79,99,83,
2019,22,NYJ,NFL,QB,13,13,92,92,89,90,89,96,88,96,89,
2020,23,NYJ,NFL,QB,12,12,77,74,75,73,79,79,85,80,74,
2021,24,CAR,NFL,QB,12,11,81,81,76,77,79,77,81,88,73,
2022,25,CAR,NFL,QB,6,6,126,120,121,117,73,108,104,98,104,
,,,,,,,,,,,,,,,,
2024,27,MIN,NFL,QB,17,17,118,111,119,114,105,125,101,92,118,"PB,AP MVP-10,AP CPoY-3"
7 Yrs,,83,73,94,92,92,90,85,96,87,90,89,,,,
,,,,,,,,,,,,,,,,
NYJ (3 Yrs),,38,38,88,88,84,84,82,91,84,92,82,,,,
CAR (2 Yrs),,18,17,93,91,88,87,77,85,87,91,81,,,,
MIN (1 Yr),,17,17,118,111,119,114,105,125,101,92,118,,,,
SFO (1 Yr),,10,1,,,,,,,,,,,,,
