Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42
,Air Yards,Accuracy,Pressure,RPO,PlayAction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
2018,21,NYJ,NFL,QB,13,13,239,414,3843,9.3,1605,6.7,3.9,1260,5.3,0,24,1,19,4.9,75,19.3,,,2.4,107,69,12,111,24.2,15,7.7,,,,,,,,,
2019,22,NYJ,NFL,QB,13,13,273,441,3614,8.2,1549,5.7,3.5,1475,5.4,10,23,2,25,6.0,74,17.8,313,75.2,2.5,166,63,39,135,28.0,8,8.0,35,241,32,235,2,6,92,675,
2020,23,NYJ,NFL,QB,12,12,217,364,2794,7.7,1053,4.9,2.9,1155,5.3,7,21,3,14,4.1,62,18.2,244,71.8,2.4,143,43,38,116,27.3,26,8.0,8,48,5,37,3,11,63,542,
2021,24,CAR,NFL,QB,12,11,243,406,2947,7.3,1151,4.7,2.8,1376,5.7,6,22,0,27,7.0,71,18.5,286,74.5,2.5,128,60,40,135,29.1,23,8.1,26,83,22,68,3,15,87,595,
2022,25,CAR,NFL,QB,6,6,82,140,1103,7.9,553,6.7,4.0,590,7.2,3,19,3,7,5.9,16,13.6,91,77.1,2.7,49,13,9,32,20.1,9,9.0,17,100,15,100,2,0,52,414,
2023,26,SFO,NFL,QB,10,1,28,46,371,8.1,142,5.1,3.1,155,5.5,0,0,1,0,0.0,12,26.7,31,68.9,2.9,8,1,2,9,16.4,3,5.0,4,26,4,26,0,0,6,17,
2024,27,MIN,NFL,QB,17,17,361,545,4561,8.4,2566,7.1,4.7,1753,4.9,10,29,1,19,3.7,77,15.0,400,77.7,2.6,137,52,52,152,24.5,28,7.9,28,218,25,185,3,33,149,1474,"PB,AP MVP-10,AP CPoY-3"
7 Yrs,,83,73,1443,2356,19233,8.2,8619,6.0,3.7,7764,5.4,36,138,11,111,5.0,387,17.5,1365,61.8,2.6,738,301,192,690,25.9,112,8.0,118,716,103,651,13,65,449,3717,,,,
17 Game Avg,,17,15,296,483,3939,8.2,1765,6.0,3.7,1590,5.4,7,28,2,23,5.0,79,17.5,,,2.6,151,62,39,141,25.9,23,8.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYJ (3 Yrs),,38,38,729,1219,10251,8.4,4207,5.8,3.5,3890,5.3,17,68,6,58,5.1,211,18.4,557,48.6,2.4,416,175,89,362,26.5,49,7.9,43,289,37,272,5,17,155,1217,,,,
CAR (2 Yrs),,18,17,325,546,4050,7.4,1704,5.2,3.1,1966,6.0,9,41,3,34,6.8,87,17.3,377,75.1,2.6,177,73,49,167,26.8,32,8.4,43,183,37,168,5,15,139,1009,,,,
MIN (1 Yr),,17,17,361,545,4561,8.4,2566,7.1,4.7,1753,4.9,10,29,1,19,3.7,77,15.0,400,77.7,2.6,137,52,52,152,24.5,28,7.9,28,218,25,185,3,33,149,1474,,,,
SFO (1 Yr),,10,1,28,46,371,8.1,142,5.1,3.1,155,5.5,0,0,1,0,0.0,12,26.7,31,68.9,2.9,8,1,2,9,16.4,3,5.0,4,26,4,26,0,0,6,17,,,,
