Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,TD,1D,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2018,21,NYJ,NFL,QB,13,13,44,138,1,16,38.6,28,3.1,10.6,3.4,0,0,0,0,0,0.0,0.0,44,3.1,138,1,5,
2019,22,NYJ,NFL,QB,13,13,33,62,2,6,27.3,24,1.9,4.8,2.5,0,0,0,0,0,0.0,0.0,33,1.9,62,2,11,
2020,23,NYJ,NFL,QB,12,12,37,217,2,13,59.5,46,5.9,18.1,3.1,0,0,0,0,0,0.0,0.0,37,5.9,217,2,4,
2021,24,CAR,NFL,QB,12,11,48,222,5,20,60.4,30,4.6,18.5,4.0,0,0,0,0,0,0.0,0.0,48,4.6,222,5,9,
2022,25,CAR,NFL,QB,6,6,26,106,2,10,38.5,26,4.1,17.7,4.3,0,0,0,0,0,0.0,0.0,26,4.1,106,2,6,
2023,26,SFO,NFL,QB,10,1,21,15,1,3,23.8,9,0.7,1.5,2.1,0,0,0,0,0,0.0,0.0,21,0.7,15,1,3,
2024,27,MIN,NFL,QB,17,17,67,212,1,23,41.8,19,3.2,12.5,3.9,0,0,0,0,0,0.0,0.0,67,3.2,212,1,8,"PB,AP MVP-10,AP CPoY-3"
7 Yrs,,83,73,276,972,14,91,43.5,46,3.5,11.7,3.3,0,0,0,0,0,0.0,0.0,276,3.5,972,14,46,,,,
17 Game Avg,,17,15,57,199,3,19,43.5,46,3.5,11.7,3.3,0,0,0,0,0,0.0,0.0,57,0.7,199,3,9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYJ (3 Yrs),,38,38,114,417,5,35,42.1,46,3.7,11.0,3.0,0,0,0,0,0,0.0,0.0,114,3.7,417,5,20,,,,
CAR (2 Yrs),,18,17,74,328,7,30,52.7,30,4.4,18.2,4.1,0,0,0,0,0,0.0,0.0,74,4.4,328,7,15,,,,
MIN (1 Yr),,17,17,67,212,1,23,41.8,19,3.2,12.5,3.9,0,0,0,0,0,0.0,0.0,67,3.2,212,1,8,,,,
SFO (1 Yr),,10,1,21,15,1,3,23.8,9,0.7,1.5,2.1,0,0,0,0,0,0.0,0.0,21,0.7,15,1,3,,,,
