Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2018,21,NYJ,NFL,QB,13,13,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,6,0.5,
2019,22,NYJ,NFL,QB,13,13,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,0.9,
2020,23,NYJ,NFL,QB,12,12,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,1.0,
2021,24,CAR,NFL,QB,12,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.5,
2022,25,CAR,NFL,QB,6,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,2.0,
2023,26,SFO,NFL,QB,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
2024,27,MIN,NFL,QB,17,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,"PB,AP MVP-10,AP CPoY-3"
7 Yrs,,83,73,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,84,1.0,,,,
17 Game Avg,,17,15,3,0,0,0,0,0,0,3,0,,0,0,0,0,0,17,1.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NYJ (3 Yrs),,38,38,5,0,0,0,0,0,0,5,0,,0,0,0,0,0,30,0.8,,,,
CAR (2 Yrs),,18,17,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,42,2.3,,,,
MIN (1 Yr),,17,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,,,,
SFO (1 Yr),,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,,,,
