Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2018,21,NYJ,QB,14,13,13,810,100%,0,0%,0,0%
2019,22,NYJ,QB,14,13,13,840,100%,0,0%,0,0%
2020,23,NYJ,QB,14,12,12,739,100%,0,0%,0,0%
2021,24,CAR,QB,14,12,11,771,93%,0,0%,0,0%
2022,25,CAR,QB,14,6,6,377,100%,0,0%,0,0%
2023,26,SFO,QB,14,10,1,130,20%,0,0%,0,0%
2024*,27,MIN,QB,14,17,17,1110,99%,0,0%,0,0%
Career,,,,,,4777,,0,,0,,
3 yrs,NYJ,,,38,38,2389,,0,,0,,
2 yrs,CAR,,,18,17,1148,,0,,0,,
1 yr,MIN,,,17,17,1110,,0,,0,,
1 yr,SFO,,,10,1,130,,0,,0,,
