Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2014*,23,STL,LDT,99,16,12,0,0%,707,67%,81,18%
2015*+,24,STL,LDT,99,16,16,0,0%,915,79%,76,16%
2016*+,25,LAR,LDT,99,16,16,0,0%,829,76%,63,14%
2017*+,26,LAR,RDE,99,14,14,0,0%,790,82%,72,17%
2018*+,27,LAR,RDT,99,16,16,0,0%,914,90%,81,17%
2019*+,28,LAR,RDE,99,16,16,0,0%,926,84%,76,17%
2020*+,29,LAR,DT,99,16,16,0,0%,865,85%,36,8%
2021*+,30,LAR,LDT,99,17,17,0,0%,1041,90%,0,0%
2022*,31,LAR,DT,99,11,11,0,0%,616,89%,5,2%
2023*+,32,LAR,DT,99,16,16,0,0%,867,81%,7,2%
Career,,,,,,0,,8470,,497,,
