Year,Tm,Level,Pos,Voters
1995,1st Tm,All-Conf.,,Pro Football Writers
1995,1st Tm,All-Conf.,,UPI
1995,1st Tm,,QB,Associated Press
1995,1st Tm,,,Pro Football Writers
1995,1st Tm,,,Sporting News
1996,1st Tm,All-Conf.,,Pro Football Writers
1996,1st Tm,All-Conf.,,UPI
1996,1st Tm,,QB,Associated Press
1996,1st Tm,,,Pro Football Writers
1996,1st Tm,,,Sporting News
1997,1st Tm,All-Conf.,,Pro Football Writers
1997,1st Tm,,QB,Associated Press
1997,1st Tm,,,Pro Football Writers
1997,1st Tm,,,Sporting News
2001,2nd Tm,,QB,Associated Press
2002,1st Tm,All-Conf.,,Pro Football Writers
2002,2nd Tm,,QB,Associated Press
2003,1st Tm,All-Conf.,,Pro Football Writers
2007,1st Tm,All-Conf.,QB,Pro Football Writers
2007,2nd Tm,,QB,Associated Press
