Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1992,23,GNB,NFL,QB,15,13,0,0,0,0,,0,12,3,-12,0,0.0,,,,,,0,PB
1993,24,GNB,NFL,QB,16,16,0,0,0,0,,0,14,2,-1,0,0.0,,,,,,0,PB
1994,25,GNB,NFL,QB,16,16,0,0,0,0,,0,7,1,-2,0,0.0,0,0,0,,,0,
1995,26,GNB,NFL,QB,16,16,0,0,0,0,,0,8,0,0,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
1996,27,GNB,NFL,QB,16,16,0,0,0,0,,0,11,5,-10,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-2"
1997,28,GNB,NFL,QB,16,16,0,0,0,0,,0,7,1,-10,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-3"
1998,29,GNB,NFL,QB,16,16,0,0,0,0,,0,8,3,-1,0,0.0,0,0,0,,,0,
1999,30,GNB,NFL,QB,16,16,0,0,0,0,0,0,9,1,-2,0,0.0,0,0,0,0,,0,
2000,31,GNB,NFL,QB,16,16,0,0,0,0,0,0,9,2,-12,0,0.0,0,0,0,0,,0,
2001,32,GNB,NFL,QB,16,16,0,0,0,0,0,0,16,6,-38,0,0.0,,,,,,0,"PB,AP-2,AP MVP-3,AP OPoY-3"
2002,33,GNB,NFL,QB,16,16,0,0,0,0,0,0,10,5,-14,0,0.0,0,0,0,0,,0,"PB,AP-2,AP MVP-2"
2003,34,GNB,NFL,QB,16,16,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,,0,PB
2004,35,GNB,NFL,QB,16,16,0,0,0,0,0,0,4,1,-8,0,0.0,0,0,0,0,,0,
2005,36,GNB,NFL,QB,16,16,0,0,0,0,0,0,10,2,-1,0,0.0,0,0,0,0,,0,
2006,37,GNB,NFL,QB,16,16,0,0,0,0,0,0,8,2,-9,0,0.0,,,,,,0,
2007,38,GNB,NFL,QB,16,16,0,0,0,0,0,0,9,4,-18,0,0.0,,,,,,0,"PB,AP-2,AP MVP-2,AP OPoY-3,AP CPoY-4"
2008,39,NYJ,NFL,QB,16,16,0,0,0,0,0,0,10,2,-16,0,0.0,0,0,0,0,0,0,PB
2009,40,MIN,NFL,QB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,"PB,AP MVP-4,AP CPoY-4"
2010,41,MIN,NFL,QB,13,13,0,0,0,0,0,0,7,2,-29,0,0.0,0,0,0,0,0,0,
20 Yrs,,302,298,0,0,0,0,0,0,166,42,-183,0,0.0,0,0,0,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,,0,9,2,-10,0,0.0,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GNB (16 Yrs),,255,253,0,0,0,0,0,0,147,38,-138,0,0.0,0,0,0,0,,0,,,,
MIN (2 Yrs),,29,29,0,0,0,0,0,0,9,2,-29,0,0.0,0,0,0,0,0,0,,,,
NYJ (1 Yr),,16,16,0,0,0,0,0,0,10,2,-16,0,0.0,0,0,0,0,0,0,,,,
ATL (1 Yr),,2,0,0,0,0,0,,0,0,0,0,0,0.0,,,,,,0,,,,
