Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
1991,22,2,QB,-4,,75,,All 1991 Games
1992,23,15,QB,188,26,7,41,All 1992 Games
1993,24,16,QB,174,13,10,55,All 1993 Games
1994,25,16,QB,283,107,2,8,All 1994 Games
1995,26,16,QB,331,128,1,6,All 1995 Games
1996,27,16,QB,310,154,1,1,All 1996 Games
1997,28,16,QB,281,96,1,4,All 1997 Games
1998,29,16,QB,264,68,3,19,All 1998 Games
1999,30,16,QB,214,25,7,41,All 1999 Games
2000,31,16,QB,205,13,10,62,All 2000 Games
2001,32,16,QB,256,54,7,24,All 2001 Games
2002,33,16,QB,222,,12,75,All 2002 Games
2003,34,16,QB,222,6,8,64,All 2003 Games
2004,35,16,QB,255,36,6,35,All 2004 Games
2005,36,16,QB,173,,15,78,All 2005 Games
2006,37,16,QB,184,,13,75,All 2006 Games
2007,38,16,QB,243,39,8,41,All 2007 Games
2008,39,16,QB,191,,16,,All 2008 Games
2009,40,16,QB,281,53,3,26,All 2009 Games
2010,41,13,QB,97,,31,,All 2010 Games
,,,,4370,,,,Career Summary
