Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1992,23,GNB,NFL,QB,15,13,1,0,0,0,0,0,0,1,,0,0,0,0,0,6,0.4,PB
1993,24,GNB,NFL,QB,16,16,1,0,0,0,0,0,0,1,,0,0,0,0,0,6,0.4,PB
1994,25,GNB,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,
1995,26,GNB,NFL,QB,16,16,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,1.1,"PB,AP-1,AP MVP-1,AP OPoY-1"
1996,27,GNB,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,"PB,AP-1,AP MVP-1,AP OPoY-2"
1997,28,GNB,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,"PB,AP-1,AP MVP-1,AP OPoY-3"
1998,29,GNB,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,
,,,,,,,,,,,,,,,,,,,,,,,
2001,32,GNB,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,"PB,AP-2,AP MVP-3,AP OPoY-3"
,,,,,,,,,,,,,,,,,,,,,,,
2006,37,GNB,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,
,,,,,,,,,,,,,,,,,,,,,,,
2008,39,NYJ,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,PB
20 Yrs,,302,298,14,0,0,0,0,0,0,14,0,0,0,0,0,0,84,0.3,,,,
17 Game Avg,,17,17,1,0,0,0,0,0,0,1,,0,0,0,0,0,5,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GNB (16 Yrs),,255,253,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,0.3,,,,
MIN (2 Yrs),,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
NYJ (1 Yr),,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,,,,
ATL (1 Yr),,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,,,,
