Year,Tm,Level,Pos,Voters
2019,1st Tm,All-Conf.,QB,Pro Football Writers
2019,1st Tm,,QB,Associated Press
2019,1st Tm,,QB,Pro Football Writers
2019,2nd Tm,,QB,Pro Football Focus
2019,1st Tm,,QB,Sporting News
2023,1st Tm,All-Conf.,QB,Pro Football Writers
2023,1st Tm,,QB,Associated Press
2023,1st Tm,,QB,Pro Football Writers
2023,1st Tm,,QB,NFL Players Assoc.
2023,1st Tm,,QB,Pro Football Focus
2023,1st Tm,,QB,Sporting News
2024,1st Tm,All-Conf.,QB,Pro Football Writers
2024,1st Tm,,QB,Associated Press
2024,1st Tm,,QB,Pro Football Writers
2024,1st Tm,,QB,NFL Players Assoc.
2024,1st Tm,,QB,Pro Football Focus
2024,1st Tm,,QB,Sporting News
