Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42
,Air Yards,Accuracy,Pressure,RPO,PlayAction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
2018,21,BAL,NFL,QB,16,7,99,170,1479,8.7,685,6.9,4.0,516,5.2,0,6,0,7,4.3,34,20.7,,,2.5,51,33,9,58,28.3,19,6.2,,,,,,,,,
2019,22,BAL,NFL,QB,15,15,265,401,3545,8.8,1767,6.7,4.4,1360,5.1,12,11,2,14,3.6,68,17.5,295,76.0,2.6,138,31,21,75,16.2,39,11.0,173,1259,77,588,92,671,116,892,"PB,AP-1,AP MVP-1,AP OPoY-2"
2020,23,BAL,NFL,QB,15,15,242,376,3241,8.6,1588,6.6,4.2,1169,4.8,6,9,3,20,5.5,64,17.6,274,75.3,2.5,104,49,24,102,22.5,49,7.2,157,1301,75,742,76,559,87,767,
2021,24,BAL,NFL,QB,12,12,246,382,3543,9.3,1734,7.0,4.5,1148,4.7,9,7,4,18,4.9,73,19.7,272,73.3,2.4,151,39,29,106,22.6,49,8.0,119,834,63,574,54,260,93,831,PB
2022,25,BAL,NFL,QB,12,12,203,326,2719,8.3,1271,6.3,3.9,971,4.8,8,16,1,26,8.4,56,18.1,233,75.4,2.6,125,32,15,73,19.4,24,8.2,110,919,72,587,35,332,99,814,
2023,26,BAL,NFL,QB,16,16,307,457,3831,8.4,1926,6.3,4.2,1752,5.7,9,15,1,22,5.0,73,16.6,326,73.9,2.7,169,22,29,88,15.7,65,6.4,115,1046,86,893,25,153,58,525,"PB,AP-1,AP MVP-1,AP OPoY-4,AP CPoY-9"
2024,27,BAL,NFL,QB,17,17,316,474,4056,8.6,2087,6.6,4.4,2085,6.6,12,13,5,28,6.1,69,15.1,359,78.7,2.5,162,53,31,107,19.7,45,9.0,95,724,59,566,32,158,104,1014,"PB,AP-1,AP MVP-2,AP OPoY-2"
7 Yrs,,103,94,1678,2586,22414,8.7,11058,6.6,4.3,9001,5.4,56,77,16,135,5.4,437,17.5,1759,70.6,2.5,900,259,158,609,19.9,290,8.0,769,6083,432,3950,314,2133,557,4843,,,,
17 Game Avg,,17,16,277,427,3699,8.7,1825,6.6,4.3,1486,5.4,9,13,3,22,5.4,72,17.5,,,2.5,149,43,26,101,19.9,48,8.0,,,,,,,,,,,,
