Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,TD,1D,Succ%,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2018,21,BAL,NFL,QB,16,7,147,695,5,45,51.0,39,4.7,43.4,9.2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,147,4.7,695,5,12,
2019,22,BAL,NFL,QB,15,15,176,1206,7,71,58.0,47,6.9,80.4,11.7,0,0,0,0,0,,0.0,0.0,,,176,6.9,1206,7,9,"PB,AP-1,AP MVP-1,AP OPoY-2"
2020,23,BAL,NFL,QB,15,15,159,1005,7,56,51.6,50,6.3,67.0,10.6,0,0,0,0,0,,0.0,0.0,,,159,6.3,1005,7,10,
2021,24,BAL,NFL,QB,12,12,133,767,2,48,56.4,31,5.8,63.9,11.1,0,0,0,0,0,,0.0,0.0,,,133,5.8,767,2,6,PB
2022,25,BAL,NFL,QB,12,12,112,764,3,47,64.3,79,6.8,63.7,9.3,0,0,0,0,0,,0.0,0.0,,,112,6.8,764,3,5,
2023,26,BAL,NFL,QB,16,16,148,821,5,48,54.1,30,5.5,51.3,9.3,0,0,0,0,0,,0.0,0.0,,,148,5.5,821,5,11,"PB,AP-1,AP MVP-1,AP OPoY-4,AP CPoY-9"
2024,27,BAL,NFL,QB,17,17,139,915,4,47,56.1,48,6.6,53.8,8.2,0,0,0,0,0,,0.0,0.0,,,139,6.6,915,4,10,"PB,AP-1,AP MVP-2,AP OPoY-2"
7 Yrs,,103,94,1014,6173,33,362,55.6,79,6.1,59.9,9.8,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1014,6.1,6173,33,63,,,,
17 Game Avg,,17,16,167,1019,5,60,55.6,79,6.1,59.9,9.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,167,1.0,1019,5,10,,,,
