Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2018,21,BAL,NFL,QB,16,7,5,0,0,0,0,0,0,5,0,,0,0,0,0,0,30,1.9,
2019,22,BAL,NFL,QB,15,15,7,0,0,0,0,0,0,7,0,,0,0,0,0,0,42,2.8,"PB,AP-1,AP MVP-1,AP OPoY-2"
2020,23,BAL,NFL,QB,15,15,7,0,0,0,0,0,0,7,0,,0,0,0,0,0,42,2.8,
2021,24,BAL,NFL,QB,12,12,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.0,PB
2022,25,BAL,NFL,QB,12,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.5,
2023,26,BAL,NFL,QB,16,16,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,1.9,"PB,AP-1,AP MVP-1,AP OPoY-4,AP CPoY-9"
2024,27,BAL,NFL,QB,17,17,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,26,1.5,"PB,AP-1,AP MVP-2,AP OPoY-2"
7 Yrs,,103,94,33,0,0,0,0,0,0,33,1,0,0,0,0,0,0,200,1.9,,,,
17 Game Avg,,17,16,5,0,0,0,0,0,0,5,0,,0,0,0,0,0,33,1.9,,,,
