Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2018,21,BAL,QB,8,16,7,585,49%,0,0%,0,0%
2019*+,22,BAL,QB,8,15,15,969,93%,0,0%,0,0%
2020,23,BAL,QB,8,15,15,917,94%,0,0%,0,0%
2021*,24,BAL,QB,8,12,12,810,91%,0,0%,0,0%
2022,25,BAL,QB,8,12,12,728,92%,0,0%,0,0%
2023*+,26,BAL,QB,8,16,16,1040,97%,0,0%,0,0%
2024*+,27,BAL,QB,8,17,17,1074,97%,0,0%,0,0%
Career,,,,,,6123,,0,,0,,
