Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32
,Receiving,Rushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
2018,29,ATL,NFL,WR,16,16,170,113,1677,80,1229,10.9,448,4.0,14.0,3,37.7,9,5.3,3,106.9,2,12,1,-4,-2.0,16,8.0,1,2.0,"PB,AP-2"
2019,30,ATL,NFL,WR,15,15,157,99,1394,77,1030,10.4,364,3.7,12.2,7,14.1,4,2.5,5,91.1,2,-3,0,-4,-2.0,1,0.5,0,,"PB,AP-2"
2020,31,ATL,NFL,WR,9,9,68,51,771,36,540,10.6,231,4.5,11.2,7,7.3,3,4.4,0,126.5,0,0,0,0,,0,,0,,
2021,32,TEN,NFL,WR,10,10,48,31,434,19,322,10.4,112,3.6,12.1,4,7.8,1,2.1,2,83.2,0,0,0,0,,0,,0,,
2022,33,TAM,NFL,WR,10,5,43,24,299,13,175,7.3,124,5.2,13.8,2,12.0,1,2.3,0,93.1,5,45,4,38,7.6,7,1.4,0,,
2023,34,PHI,NFL,WR,11,4,19,11,74,4,46,4.2,28,2.5,7.4,0,,1,5.3,1,84.2,0,0,0,0,,0,,0,,
6 Yrs,,71,59,505,329,4649,229,3342,10.2,1307,4.0,12.6,23,14.3,19,3.8,11,100.8,9,54,5,30,3.3,24,2.7,1,9.0,,,,
17 Game Avg,,17,14,121,79,1113,55,800,10.2,313,4.0,12.6,6,14.3,5,3.8,3,100.8,2,13,1,7,3.3,6,2.7,0,9.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (3 Yrs),,40,40,395,263,3842,193,2799,10.6,1043,4.0,12.8,17,15.5,16,4.1,8,104.0,4,9,1,-8,-2.0,17,4.3,1,4.0,,,,
PHI (1 Yr),,11,4,19,11,74,4,46,4.2,28,2.5,7.4,0,,1,5.3,1,84.2,0,0,0,0,,0,,0,,,,,
TEN (1 Yr),,10,10,48,31,434,19,322,10.4,112,3.6,12.1,4,7.8,1,2.1,2,83.2,0,0,0,0,,0,,0,,,,,
TAM (1 Yr),,10,5,43,24,299,13,175,7.3,124,5.2,13.8,2,12.0,1,2.3,0,93.1,5,45,4,38,7.6,7,1.4,0,,,,,
