Year,Tm,Level,Pos,Voters
2014,1st Tm,,WR,Sporting News
2015,1st Tm,All-Conf.,WR,Pro Football Writers
2015,1st Tm,,WR,Associated Press
2015,1st Tm,,WR,Pro Football Writers
2015,1st Tm,,WR,Pro Football Focus
2015,1st Tm,,WR,Sporting News
2016,1st Tm,All-Conf.,WR,Pro Football Writers
2016,1st Tm,,WR,Associated Press
2016,1st Tm,,WR,Pro Football Writers
2016,1st Tm,,WR,Pro Football Focus
2016,1st Tm,,WR,Sporting News
2017,1st Tm,All-Conf.,WR,Pro Football Writers
2017,2nd Tm,,WR,Associated Press
2017,1st Tm,,WR,Pro Football Focus
2017,1st Tm,,WR,Sporting News
2018,1st Tm,All-Conf.,WR,Pro Football Writers
2018,2nd Tm,,WR,Associated Press
2018,1st Tm,,WR,Pro Football Writers
2018,2nd Tm,,WR,Pro Football Focus
2019,1st Tm,All-Conf.,WR,Pro Football Writers
2019,2nd Tm,,WR,Associated Press
2019,1st Tm,,WR,Pro Football Writers
2019,1st Tm,,FLEX,Pro Football Focus
