Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2011,22,ATL,NFL,WR,13,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
2013,24,ATL,NFL,WR,5,5,0,0,0,0,0,0,2,1,18,0,0.0,0,0,0,0,0,0,
2014,25,ATL,NFL,WR,15,15,0,0,0,0,1,0,2,1,0,0,0.0,0,0,0,0,0,0,PB
2015,26,ATL,NFL,WR,16,16,0,0,0,0,0,0,3,3,0,1,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-6"
,,,,,,,,,,,,,,,,,,,,,,,,
2018,29,ATL,NFL,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
2019,30,ATL,NFL,WR,15,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
,,,,,,,,,,,,,,,,,,,,,,,,
2021,32,TEN,NFL,WR,10,10,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
2022,33,TAM,NFL,WR,10,5,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
13 Yrs,,166,153,0,0,0,0,1,0,11,5,18,1,0.0,2,2,0,0,0,0,,,,
17 Game Avg,,17,16,0,0,0,0,0,0,1,1,2,0,0.0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ATL (10 Yrs),,135,134,0,0,0,0,1,0,11,5,18,1,0.0,0,0,0,0,0,0,,,,
PHI (1 Yr),,11,4,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,
TEN (1 Yr),,10,10,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,,,
TAM (1 Yr),,10,5,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,,,
