Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35
,Receiving,Rushing,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2011,22,ATL,NFL,WR,13,13,95,54,959,17.8,8,36,43.2,80,4.2,73.8,56.8,10.1,6,56,0,4,83.3,19,9.3,4.3,0.5,60,16.9,1015,8,1,10,
2012,23,ATL,NFL,WR,16,15,128,79,1198,15.2,10,56,54.7,80,4.9,74.9,61.7,9.4,6,30,0,3,50.0,18,5.0,1.9,0.4,85,14.4,1228,10,0,13,PB
2013,24,ATL,NFL,WR,5,5,59,41,580,14.1,2,25,57.6,81,8.2,116.0,69.5,9.8,1,7,0,1,100.0,7,7.0,1.4,0.2,42,14.0,587,2,2,5,
2014,25,ATL,NFL,WR,15,15,163,104,1593,15.3,6,76,55.8,79,6.9,106.2,63.8,9.8,1,1,0,1,0.0,1,1.0,0.1,0.1,105,15.2,1594,6,2,14,PB
2015,26,ATL,NFL,WR,16,16,203,136,1871,13.8,8,93,57.6,70,8.5,116.9,67.0,9.2,0,0,0,0,,,,0.0,0.0,136,13.8,1871,8,3,16,"PB,AP-1,AP OPoY-6"
2016,27,ATL,NFL,WR,14,14,129,83,1409,17.0,6,64,58.9,75,5.9,100.6,64.3,10.9,0,0,0,0,,,,0.0,0.0,83,17.0,1409,6,0,16,"PB,AP-1"
2017,28,ATL,NFL,WR,16,16,148,88,1444,16.4,3,67,54.7,53,5.5,90.3,59.5,9.8,1,15,0,1,100.0,15,15.0,0.9,0.1,89,16.4,1459,3,0,14,"PB,AP-2"
2018,29,ATL,NFL,WR,16,16,170,113,1677,14.8,8,80,59.4,58,7.1,104.8,66.5,9.9,2,12,0,1,50.0,11,6.0,0.8,0.1,115,14.7,1689,8,2,14,"PB,AP-2"
2019,30,ATL,NFL,WR,15,15,157,99,1394,14.1,6,77,55.4,54,6.6,92.9,63.1,8.9,2,-3,0,0,0.0,1,-1.5,-0.2,0.1,101,13.8,1391,6,1,11,"PB,AP-2"
2020,31,ATL,NFL,WR,9,9,68,51,771,15.1,3,36,64.7,44,5.7,85.7,75.0,11.3,0,0,0,0,,,,0.0,0.0,51,15.1,771,3,0,6,
2021,32,TEN,NFL,WR,10,10,48,31,434,14.0,1,19,52.1,51,3.1,43.4,64.6,9.0,0,0,0,0,,,,0.0,0.0,31,14.0,434,1,0,4,
2022,33,TAM,NFL,WR,10,5,43,24,299,12.5,2,13,41.9,48,2.4,29.9,55.8,7.0,5,45,0,4,80.0,15,9.0,4.5,0.5,29,11.9,344,2,0,2,
2023,34,PHI,NFL,WR,11,4,19,11,74,6.7,3,4,31.6,22,1.0,6.7,57.9,3.9,0,0,0,0,,,,0.0,0.0,11,6.7,74,3,0,1,
13 Yrs,,166,153,1430,914,13703,15.0,66,646,55.3,81,5.5,82.5,63.9,9.6,24,163,0,15,62.5,19,6.8,1.0,0.1,938,14.8,13866,66,11,126,,,,
17 Game Avg,,17,16,146,94,1403,15.0,7,66,55.3,81,5.5,82.5,63.9,9.6,2,17,0,2,62.5,19,6.8,1.0,0.1,96,1.5,1420,7,1,13,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (10 Yrs),,135,134,1320,848,12896,15.2,60,610,56.2,81,6.3,95.5,64.2,9.8,19,118,0,11,57.9,19,6.2,0.9,0.1,867,15.0,13014,60,11,119,,,,
PHI (1 Yr),,11,4,19,11,74,6.7,3,4,31.6,22,1.0,6.7,57.9,3.9,0,0,0,0,,,,0.0,0.0,11,6.7,74,3,0,1,,,,
TEN (1 Yr),,10,10,48,31,434,14.0,1,19,52.1,51,3.1,43.4,64.6,9.0,0,0,0,0,,,,0.0,0.0,31,14.0,434,1,0,4,,,,
TAM (1 Yr),,10,5,43,24,299,12.5,2,13,41.9,48,2.4,29.9,55.8,7.0,5,45,0,4,80.0,15,9.0,4.5,0.5,29,11.9,344,2,0,2,,,,
