Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2011,22,ATL,NFL,WR,13,13,0,8,0,0,0,0,0,8,0,,0,0,0,0,0,48,3.7,
2012,23,ATL,NFL,WR,16,15,0,10,0,0,0,0,0,10,0,,0,0,0,0,0,60,3.8,PB
2013,24,ATL,NFL,WR,5,5,0,2,0,0,0,0,0,2,0,,0,0,0,0,0,12,2.4,
2014,25,ATL,NFL,WR,15,15,0,6,0,0,0,0,0,6,0,,0,0,0,0,0,36,2.4,PB
2015,26,ATL,NFL,WR,16,16,0,8,0,0,1,0,0,9,0,,0,0,0,0,0,54,3.4,"PB,AP-1,AP OPoY-6"
2016,27,ATL,NFL,WR,14,14,0,6,0,0,0,0,0,6,0,,0,0,0,0,0,36,2.6,"PB,AP-1"
2017,28,ATL,NFL,WR,16,16,0,3,0,0,0,0,0,3,0,,0,0,0,0,0,18,1.1,"PB,AP-2"
2018,29,ATL,NFL,WR,16,16,0,8,0,0,0,0,0,8,0,,0,0,0,0,0,48,3.0,"PB,AP-2"
2019,30,ATL,NFL,WR,15,15,0,6,0,0,0,0,0,6,0,,0,0,0,0,0,36,2.4,"PB,AP-2"
2020,31,ATL,NFL,WR,9,9,0,3,0,0,0,0,0,3,0,,0,0,0,0,0,18,2.0,
2021,32,TEN,NFL,WR,10,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
2022,33,TAM,NFL,WR,10,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.2,
2023,34,PHI,NFL,WR,11,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,
13 Yrs,,166,153,0,66,0,0,1,0,0,67,0,0,0,0,0,0,0,402,2.4,,,,
17 Game Avg,,17,16,0,7,0,0,0,0,0,7,0,,0,0,0,0,0,41,2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ATL (10 Yrs),,135,134,0,60,0,0,1,0,0,61,0,,0,0,0,0,0,366,2.7,,,,
PHI (1 Yr),,11,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,,,,
TEN (1 Yr),,10,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,,,,
TAM (1 Yr),,10,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.2,,,,
