Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2012*,23,ATL,WR,11,16,15,836,79%,1,0%,2,1%
2013,24,ATL,WR,11,5,5,295,86%,0,0%,1,1%
2014*,25,ATL,WR,11,15,15,868,85%,1,0%,2,1%
2015*+,26,ATL,WR,11,16,16,969,85%,0,0%,0,0%
2016*+,27,ATL,WR,11,14,14,705,77%,4,0%,15,4%
2017*,28,ATL,WR,11,16,16,765,75%,0,0%,3,1%
2018*,29,ATL,WR,11,16,16,818,77%,5,1%,3,1%
2019*,30,ATL,WR,11,15,15,812,75%,0,0%,0,0%
2020,31,ATL,WR,11,9,9,468,72%,0,0%,7,3%
2021,32,TEN,WR,2,10,10,393,58%,0,0%,1,0%
2022,33,TAM,WR,6,10,5,351,48%,0,0%,2,1%
2023,34,PHI,WR,80,11,4,231,33%,0,0%,0,0%
Career,,,,,,7511,,11,,36,,
9 yrs,ATL,,,122,121,6536,,11,,33,,
1 yr,PHI,,,11,4,231,,0,,0,,
1 yr,TAM,,,10,5,351,,0,,2,,
1 yr,TEN,,,10,10,393,,0,,1,,
