Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31
,Receiving,Rushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Awards
2018,29,KAN,NFL,TE,16,16,150,103,1336,68,767,7.4,569,5.5,9.2,7,14.7,7,4.7,3,110.3,0,0,0,0,,0,,0,"PB,AP-1"
2019,30,KAN,NFL,TE,16,16,136,97,1229,65,819,8.4,410,4.2,9.0,6,16.2,8,5.9,0,111.4,1,4,1,3,3.0,1,1.0,0,"PB,AP-2"
2020,31,KAN,NFL,TE,15,15,145,105,1416,79,829,7.9,587,5.6,8.5,10,10.5,2,1.4,3,119.8,0,0,0,0,,0,,0,"PB,AP-1,AP OPoY-4"
2021,32,KAN,NFL,TE,16,16,134,92,1125,63,561,6.1,564,6.1,7.4,8,11.5,10,7.5,5,101.1,2,3,1,3,1.5,0,0.0,0,"PB,AP-2"
2022,33,KAN,NFL,TE,17,17,152,110,1338,78,690,6.3,648,5.9,7.1,13,8.5,8,5.3,3,117.2,2,5,1,1,0.5,4,2.0,0,"PB,AP-1,AP OPoY-6"
2023,34,KAN,NFL,TE,15,15,121,93,984,50,515,5.5,469,5.0,6.7,4,23.3,7,5.8,2,106.9,0,0,0,0,,0,,0,PB
2024,35,KAN,NFL,TE,16,16,133,97,823,47,482,5.0,341,3.5,6.4,3,32.3,6,4.5,4,83.6,1,1,0,0,0.0,1,1.0,0,PB
7 Yrs,,111,111,971,697,8251,450,4663,6.7,3588,5.1,7.8,51,13.7,48,4.9,20,107.6,6,13,3,7,1.2,6,1.0,0,,,,
17 Game Avg,,17,17,149,107,1264,69,714,6.7,550,5.1,7.8,8,13.7,7,4.9,3,107.6,1,2,0,1,1.2,1,1.0,0,,,,
