Year,Tm,Level,Pos,Voters
2016,1st Tm,All-Conf.,TE,Pro Football Writers
2016,1st Tm,,TE,Associated Press
2016,1st Tm,,TE,Pro Football Writers
2016,1st Tm,,TE,Pro Football Focus
2016,1st Tm,,TE,Sporting News
2017,2nd Tm,,TE,Associated Press
2017,1st Tm,,TE,Sporting News
2018,1st Tm,All-Conf.,TE,Pro Football Writers
2018,1st Tm,,TE,Associated Press
2018,1st Tm,,TE,Pro Football Writers
2018,2nd Tm,,TE,Pro Football Focus
2019,1st Tm,All-Conf.,TE,Pro Football Writers
2019,2nd Tm,,TE,Associated Press
2019,2nd Tm,,TE,Pro Football Focus
2019,1st Tm,,TE,Sporting News
2020,1st Tm,All-Conf.,TE,Pro Football Writers
2020,1st Tm,,TE,Associated Press
2020,1st Tm,,TE,Pro Football Writers
2020,1st Tm,,TE,Pro Football Focus
2020,1st Tm,,TE,Sporting News
2021,2nd Tm,,TE,Associated Press
2021,1st Tm,,TE,Sporting News
2022,1st Tm,All-Conf.,TE,Pro Football Writers
2022,1st Tm,,TE,Associated Press
2022,1st Tm,,TE,Pro Football Writers
2022,1st Tm,,TE,NFL Players Assoc.
2022,1st Tm,,TE,Pro Football Focus
2022,1st Tm,,TE,Sporting News
2023,1st Tm,All-Conf.,TE,Pro Football Writers
2023,1st Tm,,TE,NFL Players Assoc.
