Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2014,25,KAN,NFL,TE,16,11,0,5,0,0,1,0,0,6,0,,0,0,0,0,0,36,2.3,
2015,26,KAN,NFL,TE,16,16,0,5,0,0,0,0,0,5,2,,0,0,0,0,0,34,2.1,PB
2016,27,KAN,NFL,TE,16,15,0,4,0,0,0,0,0,4,1,,0,0,0,0,0,26,1.6,"PB,AP-1"
2017,28,KAN,NFL,TE,15,15,0,8,0,0,0,0,0,8,0,,0,0,0,0,0,48,3.2,"PB,AP-2"
2018,29,KAN,NFL,TE,16,16,0,10,0,0,0,0,0,10,0,,0,0,0,0,0,60,3.8,"PB,AP-1"
2019,30,KAN,NFL,TE,16,16,1,5,0,0,0,0,0,6,0,,0,0,0,0,0,36,2.3,"PB,AP-2"
2020,31,KAN,NFL,TE,15,15,0,11,0,0,0,0,0,11,1,,0,0,0,0,0,68,4.5,"PB,AP-1,AP OPoY-4"
2021,32,KAN,NFL,TE,16,16,1,9,0,0,0,0,0,10,0,0,0,0,0,0,0,60,3.8,"PB,AP-2"
2022,33,KAN,NFL,TE,17,17,0,12,0,0,0,0,0,12,1,0,0,0,0,0,0,74,4.4,"PB,AP-1,AP OPoY-6"
2023,34,KAN,NFL,TE,15,15,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.0,PB
2024,35,KAN,NFL,TE,16,16,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.1,PB
12 Yrs,,175,168,2,77,0,0,1,0,0,80,5,0,0,0,0,0,0,490,2.8,,,,
17 Game Avg,,17,16,0,7,0,0,0,0,0,8,0,,0,0,,,0,48,2.8,,,,
