Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2013,24,KAN,TE,87,1,0,0,0%,0,0%,1,4%
2014,25,KAN,TE,87,16,11,668,66%,0,0%,69,16%
2015*,26,KAN,TE,87,16,16,923,92%,0,0%,78,18%
2016*+,27,KAN,TE,87,16,15,886,87%,0,0%,14,3%
2017*,28,KAN,TE,87,15,15,872,91%,1,0%,0,0%
2018*+,29,KAN,TE,87,16,16,993,95%,0,0%,0,0%
2019*,30,KAN,TE,87,16,16,971,93%,1,0%,0,0%
2020*+,31,KAN,TE,87,15,15,899,86%,1,0%,0,0%
2021*,32,KAN,TE,87,16,16,926,82%,0,0%,0,0%
2022*+,33,KAN,TE,87,17,17,914,80%,0,0%,0,0%
2023*,34,KAN,TE,87,15,15,775,77%,2,0%,0,0%
2024*,35,KAN,TE,87,16,16,940,84%,0,0%,0,0%
Career,,,,,,9767,,5,,162,,
