Year,Tm,Level,Pos,Voters
2018,1st Tm,All-Conf.,QB,Pro Football Writers
2018,1st Tm,,QB,Associated Press
2018,1st Tm,,QB,Pro Football Writers
2018,1st Tm,,QB,Pro Football Focus
2020,1st Tm,All-Conf.,QB,Pro Football Writers
2020,2nd Tm,,QB,Associated Press
2020,2nd Tm,,QB,Pro Football Focus
2020,1st Tm,,QB,Sporting News
2022,1st Tm,All-Conf.,QB,Pro Football Writers
2022,1st Tm,,QB,Associated Press
2022,1st Tm,,QB,Pro Football Writers
2022,1st Tm,,QB,NFL Players Assoc.
2022,1st Tm,,QB,Pro Football Focus
2022,1st Tm,,QB,Sporting News
